league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;formationUsed;totalYellowCard
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;442;b3tuy4l2g97qd67kz5pu5rp3p;Pellegrino Matarazzo;home;#FFFFFF;#0000FF;226;1;2;14;8;2;5;3;1;4;3;33.7;4;7;1;5;15;2;296;11;15;20;2;10;442;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;3142;2alwgmgcud4guwkmcnxbtpy7e;Eder Sarabia Armesto;third;#000000;0;504;1;4;8;14;0;9;1;3;2;5;66.3;0;5;0;5;12;0;592;11;16;20;4;9;3142;4
