league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;ownGoals;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;4231;jkox030vlb7xszen474w83px;Miguel Ángel Sánchez Muñoz;home;#FFFFFF;#FFFFFF;557;3;10;9;8;1;2;1;2;6;7;1;56.9;4;5;5;13;2;619;15;15;17;2;10;7;4231
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;343;e2ntrys15j912zpqy0xb4lg45;Claudio Giráldez González;away;#2D395D;0;417;1;6;8;7;1;5;2;1;10;5;0;43.1;6;0;5;27;1;479;6;10;12;2;6;5;343
