league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;totalOffside
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;352;2alwgmgcud4guwkmcnxbtpy7e;Eder Sarabia Armesto;home;#FFFFFF;#339966;379;4;1;10;13;18;3;3;5;63.9;1;8;4;18;457;17;15;12;2;10;10;352;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;4231;i48ozgngttqqy2su617b6mzt;Alessio Lisci;home;#FF0000;#000066;178;3;1;3;18;13;12;10;2;36.1;5;1;5;28;258;6;18;15;4;3;9;4231;4
