league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;subsGoals
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;3412;2alwgmgcud4guwkmcnxbtpy7e;Eder Sarabia Armesto;home;#FFFFFF;#339966;289;1;2;15;8;1;15;1;3;8;3;39.3;4;5;5;19;5;353;9;14;10;2;2;9;3412;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;agh9ifb2mw3ivjusgedj7c3fe;433;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;third;#F68F74;0;473;7;8;9;15;2;8;3;1;2;8;60.7;2;15;5;15;2;548;30;14;12;1;8;9;433;1
