league;season;team;pos;pts;played;wins;draws;losses;goalsScored;goalsConceded;goalDiff;home_pos;home_pts;home_played;home_wins;home_draws;home_losses;home_goalsScored;home_goalsConceded;home_goalDiff;away_pos;away_pts;away_played;away_wins;away_draws;away_losses;away_goalsScored;away_goalsConceded;away_goalDiff;xG;xGA;xGDiff;xGADiff;xPos;xPosDiff;xPts;xPtsDiff
73;2526;Barcelona;1;61;25;20;1;4;0;25;42;1;36;12;12;0;0;37;5;32;2;25;13;8;1;4;30;20;10;64.5018001794815;32.05800004303455;2.4981998205184937;-7.0580000430345535;2;-1;53.181743564085885;7.818256435914115
73;2526;Real Madrid;2;60;25;19;3;3;0;21;33;3;33;12;11;0;1;29;8;21;1;27;13;8;3;2;25;13;12;57.78409993648529;28.43119987845421;-3.7840999364852905;-7.431199878454208;1;1;53.56344304729631;6.43655695270369
73;2526;Villarreal;3;51;25;16;3;6;0;27;20;4;31;13;10;1;2;29;11;18;4;20;12;6;2;4;18;16;2;38.88250035047531;30.017899557948112;8.117499649524689;-3.0178995579481125;5;-2;40.84128372809849;10.158716271901511
73;2526;Atletico Madrid;4;48;25;14;6;5;0;23;19;2;34;13;11;1;1;30;10;20;7;14;12;3;5;4;12;13;-1;39.40349990129471;27.809799998998642;2.5965000987052917;-4.809799998998642;3;1;41.83020483286856;6.16979516713144
73;2526;Real Betis;5;42;25;11;9;5;0;30;10;6;23;12;7;2;3;23;13;10;5;19;13;4;7;2;17;17;0;38.768999963998795;30.889199882745743;1.2310000360012054;-0.8891998827457428;6;-1;40.014057699167935;1.9859423008320647
73;2526;Celta Vigo;6;37;25;9;10;6;0;27;7;13;17;13;4;5;4;19;15;4;3;20;12;5;5;2;15;12;3;35.578000262379646;30.03590016812086;-1.5780002623796463;-3.035900168120861;7;-1;39.07106141632788;-2.071061416327879
73;2526;Espanyol;7;35;25;10;5;10;0;37;-6;10;20;13;6;2;5;16;18;-2;6;15;12;4;3;5;15;19;-4;33.50460007786751;34.456299528479576;-2.504600077867508;2.543700471520424;12;-5;33.05049642368336;1.949503576316637
73;2526;Athletic Club;8;34;25;10;4;11;0;35;-6;7;23;13;7;2;4;17;15;2;13;11;12;3;2;7;12;20;-8;37.08300018310547;27.269199810922146;-8.083000183105469;7.730800189077854;4;4;41.50928622066493;-7.509286220664933
73;2526;Osasuna;9;33;25;9;6;10;0;29;1;5;24;12;7;3;2;22;14;8;15;9;13;2;3;8;8;15;-7;29.159000247716904;33.99799978733063;0.8409997522830963;-4.997999787330627;13;-4;31.200071289793268;1.799928710206732
73;2526;Real Sociedad;10;32;25;8;8;9;0;38;-1;9;21;13;6;3;4;24;20;4;11;11;12;2;5;5;13;18;-5;36.566399812698364;36.42640011012554;0.43360018730163574;1.5735998898744583;8;2;35.64829878655501;-3.64829878655501
73;2526;Girona;11;30;25;7;9;9;0;40;-14;15;16;12;4;4;4;12;19;-7;9;14;13;3;5;5;14;21;-7;31.561100125312805;41.41310042142868;-5.561100125312805;-1.4131004214286804;14;-3;28.82589392627666;1.1741060737233404
73;2526;Sevilla;12;29;25;8;5;12;0;39;-7;17;15;13;4;3;6;18;19;-1;8;14;12;4;2;6;14;20;-6;27.392400100827217;41.34950029850006;4.607599899172783;-2.349500298500061;18;-6;24.544618077331958;4.4553819226680424
73;2526;Getafe;13;29;25;8;5;12;0;29;-9;18;15;13;4;3;6;10;11;-1;10;14;12;4;2;6;10;18;-8;18.70589992403984;25.399300202727318;1.2941000759601593;3.600699797272682;15;-2;28.604349609774296;0.39565039022570403
73;2526;Deportivo Alaves;14;27;25;7;6;12;0;32;-9;12;19;13;5;4;4;16;15;1;17;8;12;2;2;8;7;17;-10;30.12209989875555;31.01880019903183;-7.12209989875555;0.9811998009681702;10;4;33.43725653775813;-6.437256537758131
73;2526;Rayo Vallecano;15;26;24;6;8;10;0;31;-9;16;15;11;3;6;2;11;9;2;14;11;13;3;2;8;11;22;-11;32.07420015335083;32.01590007543564;-10.07420015335083;-1.0159000754356384;11;4;33.32078818240826;-7.320788182408258
73;2526;Valencia;16;26;25;6;8;11;0;39;-13;14;17;12;4;5;3;15;13;2;16;9;13;2;3;8;11;26;-15;29.937099799513817;32.98990076780319;-3.937099799513817;6.010099232196808;9;7;34.25437642967954;-8.254376429679539
73;2526;Elche;17;25;25;5;10;10;0;37;-5;8;21;13;5;6;2;20;13;7;20;4;12;0;4;8;12;24;-12;28.25030006468296;46.30129945278168;3.7496999353170395;-9.301299452781677;17;0;25.354268534305408;-0.35426853430540817
73;2526;Mallorca;18;24;25;6;6;13;0;41;-12;11;19;12;5;4;3;19;16;3;19;5;13;1;2;10;10;25;-15;27.018599845468998;43.38800027966499;1.981400154531002;-2.3880002796649933;19;-1;23.70634219349876;0.2936578065012405
73;2526;Levante;19;18;25;4;6;15;0;44;-18;20;7;12;1;4;7;11;23;-12;12;11;13;3;2;8;15;21;-6;29.776200145483017;43.04650002717972;-3.776200145483017;0.953499972820282;16;3;25.69977643545924;-7.699776435459238
73;2526;Real Oviedo;20;17;24;3;8;13;0;39;-23;19;11;12;2;5;5;5;13;-8;18;6;12;1;3;8;11;26;-15;23.086499899625778;40.842100381851196;-7.086499899625778;-1.8421003818511963;20;0;21.085499553989166;-4.085499553989166
