league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;saves;gameStarted;totalClearance;minsPlayed;goalKicks;cleanSheet;totalPass;accuratePass;formationPlace;fouls;ontargetScoringAtt;cornerTaken;totalTackle;shotOffTarget;wasFouled;totalScoringAtt;goals;totalThrows;lostCorners;wonTackle;wonCorners;blockedScoringAtt;goalAssist;totalSubOff;totalOffside;totalSubOn;goalsConceded;yellowCard
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;8rcole4a6y4fkamv87q3hqk0l;Henrique Silva Milagres;Henrique Silva Milagres;Henrique;17;Defender;Left;3;0;1;2;90;0;0;37;31;3;1;0;1;3;1;0;1;0;6;0;0;0;0;0;0;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;5uig03vbbv71f0q31cp3vfbv9;Eray Ervin Cömert;Eray Cömert;E. Cömert;15;Defender;Left/Centre;6;0;1;8;90;1;0;47;42;6;2;0;0;3;0;1;0;0;0;1;2;0;0;0;0;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;3qrk8nw6nc8o96n7jr1az21ux;Joseph Aidoo;Joseph Aidoo;J. Aidoo;16;Defender;Centre/Right;5;0;1;4;45;0;0;18;14;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;92573hn6oedcw6a0gj44xy8kp;Antonio Candela;Antonio Candela;A. Candela;22;Defender;Right;2;0;1;1;45;0;0;7;4;2;2;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;3;1
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;6km3r9cspyz7g6343o9mri63u;Raúl Moro Prescoli;Raúl Moro;Raúl Moro;11;Midfielder;Left;11;0;1;3;90;0;0;28;19;11;0;1;1;0;0;0;1;0;4;0;0;1;0;0;0;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;9ezcgbcuxughgkd4ns8c7mqdw;Ibrahim Akitunde Alani;Ibrahim Alani;I. Alani;38;Midfielder;Left/Centre;8;0;1;0;90;0;0;51;42;8;1;0;0;6;1;2;1;0;0;1;3;0;0;0;0;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;cd6l176fmei1qgylqbf0btg8a;Tamás Nikitscher;Tamás Nikitscher;T. Nikitscher;4;Midfielder;Centre/Right;4;0;1;1;90;0;0;33;31;4;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;6sj650wwmo08r10xzz2l9xkut;Anuar Mohamed Tuhami;Anuar Tuhami;A. Tuhami;23;Midfielder;Right;7;0;1;0;45;0;0;9;6;7;2;0;0;2;0;2;0;0;0;0;2;1;0;0;1;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;8lg4tqh5bepeexbhghyr7pze2;Juan Miguel Latasa Fernández Layos;Juanmi Latasa;Juanmi Latasa;14;Striker;Left/Centre;9;0;1;0;72;0;0;18;15;9;2;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;ahbogqtodqaszg7kr1qnamgut;Mamadou Sylla Diallo;Mamadou Sylla;M. Sylla;7;Striker;Centre/Right;10;0;1;2;72;0;0;19;12;10;1;0;0;2;0;1;0;0;0;0;1;0;0;0;1;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;en57yvdqgz5hb9686psafw7pw;Adrián Arnuncio Baquerín;Adrián Arnu;Adrián Arnu;29;Substitute;Attacker;0;0;0;0;18;0;0;3;3;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;1mjn7ui3dan4oi6t94pzuxbhm;Mario Maroto Argüello;Mario Maroto;Mario Maroto;34;Substitute;Midfielder;0;0;0;1;45;0;0;24;20;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;3j66drshfcoje5wb7gjybi9qt;Amath Ndiaye Diedhiou;Amath Ndiaye;A. Ndiaye;19;Substitute;Attacker;0;0;0;0;18;0;0;7;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;d8v7fh30bn0rbhj0lgn1j17th;Luis Jesús Pérez Maqueda;Luis Pérez;Luis Pérez;2;Substitute;Defender;0;0;0;1;45;0;0;22;20;0;0;0;0;3;0;1;0;0;0;0;3;1;0;0;0;0;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;csqsdjsa4leo6z86qphjuectm;Cenk Özkacar;Cenk Özkacar;C. Özkacar;6;Substitute;Defender;0;0;0;1;45;0;0;37;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
