league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalClearance;totalPass;formationPlace;blockedScoringAtt;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;yellowCard;fouls;totalSubOff;lostCorners;shotOffTarget;ontargetScoringAtt;cornerTaken;totalSubOn;cleanSheet;saves;totalOffside;goals
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;9mh4ven84dualv113vxinqn10;Julio Díaz del Romo;Julio Díaz;Julio Díaz;34;Defender;Left;3;40;1;0;0;90;0;47;3;1;1;2;8;2;0;1;0;1;0;2;0;0;0;0;1;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;6xulax65kp4aid70nk7g5jr2t;Robin Aimé Robert Le Normand Mainfray;Robin Le Normand;Robin Le Normand;24;Defender;Left/Centre;6;65;1;2;0;90;3;74;6;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;548jzfl9higq44w9bgqvcjh05;José María Giménez de Vargas;José María Giménez;J. Giménez;2;Defender;Centre/Right;5;58;1;1;0;90;6;63;5;0;1;2;0;0;0;2;0;2;0;0;1;0;0;0;1;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;ieu0x9fy8hpqyztdjg8bgpnt;Nahuel Molina Lucero;Nahuel Molina;N. Molina;16;Defender;Right;2;53;1;0;0;90;0;63;2;0;0;1;4;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;5zoz3mjooujpv0wdcphyrztd6;Alejandro Baena Rodríguez;Álex Baena;Álex Baena;10;Midfielder;Left;11;51;1;0;0;90;1;62;11;2;3;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;3ub05nnpt9o7s387z6oj8vf56;João Lucas de Souza Cardoso;Johnny Cardoso;J. Cardoso;5;Midfielder;Left/Centre;8;42;1;0;0;61;3;47;8;0;0;3;1;2;0;2;0;0;1;2;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;1filh68q6hdk921qkdo7rsvmc;Rodrigo Mendoza Martinez Moya;Rodrigo Mendoza;Rodrigo Mendoza;4;Midfielder;Centre/Right;4;38;1;0;0;61;1;43;4;1;2;1;0;3;0;1;0;1;1;0;1;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;4ea0sjczqa5ah1w720zlakkfe;Thiago Ezequiel Almada;Thiago Almada;T. Almada;11;Midfielder;Right;7;37;1;0;0;72;1;41;7;0;1;1;0;2;1;1;0;0;1;1;1;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;8d04q3yp2kouwog0lj0s7ew2x;Ademola Olajade Alade Aylola Lookman;Ademola Lookman;A. Lookman;22;Striker;Left/Centre;9;3;1;0;0;45;0;4;9;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;6akzpi6rd6qq0ke07ojnhpoet;Alexander Sørloth;Alexander Sørloth;A. Sørloth;9;Striker;Centre/Right;10;7;1;0;0;61;0;14;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;9ikkuxd19avliz1khcrm82gyy;Julián Alvarez;Julián Alvarez;J. Alvarez;19;Substitute;Attacker;0;20;0;0;0;45;0;21;0;0;2;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;716n1970vi9rvw5b4w9qmjfth;Antoine Griezmann;Antoine Griezmann;A. Griezmann;7;Substitute;Attacker;0;17;0;0;0;29;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;14;Substitute;Midfielder;0;8;0;0;0;18;0;11;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;b9kfek16otvdorssn0wzkb36d;Jorge Resurrección Merodio;Jorge Resurrección Merodio;Koke;6;Substitute;Midfielder;0;32;0;0;0;29;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;5es43b4a7fv0lkmp63dj439ey;Giuliano Simeone Baldini;Giuliano Simeone;G. Simeone;20;Substitute;Attacker;0;14;0;0;0;29;0;19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
