league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;fouls;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;penGoalsConceded;penaltyConceded;penaltyFaced;saves;totalClearance;totalPass;wasFouled;formationPlace;shotOffTarget;totalScoringAtt;totalThrows;totalTackle;wonTackle;ontargetScoringAtt;yellowCard;cornerTaken;totalSubOff;wonCorners;goals;blockedScoringAtt;totalSubOn;totalOffside;penaltyWon
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;5dfvefxvwj8kixbajluw25mtx;Stole Dimitrievski;Stole Dimitrievski;S. Dimitrievski;1;Goalkeeper;Centre;1;22;0;1;4;2;0;90;1;0;1;3;0;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;3n66mcws9belxbv3pu5uwhfu2;José Manuel Arias Copete;José Manuel Arias Copete;Copete;3;Defender;Left/Centre;4;52;1;1;3;2;1;90;1;0;0;0;3;66;1;4;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;5uig03vbbv71f0q31cp3vfbv9;Eray Ervin Cömert;Eray Cömert;E. Cömert;24;Defender;Centre;5;63;0;1;0;2;0;90;1;0;0;0;3;72;0;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;e8s9ssopq5nmp51zymvqp8jbp;Unai Núñez Gestoso;Unai Núñez;Unai Núñez;4;Defender;Centre/Right;6;37;2;1;0;2;1;70;1;0;0;0;0;44;0;6;0;0;4;1;1;0;1;0;1;1;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;5b1q9bpe23j98eoy4fwi7ld5h;José Luis Gayà Peña;José Gayà;José Gayà;14;Midfielder;Left;3;29;1;1;0;2;1;78;1;0;0;0;5;32;0;3;0;0;6;5;4;0;0;0;1;1;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;73efpm314q2paeacsvp4e8q8l;Guido Rodríguez;Guido Rodríguez;G. Rodríguez;2;Midfielder;Left/Centre;8;46;2;1;0;2;0;88;1;0;0;0;4;52;1;8;0;0;0;6;4;0;0;0;1;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;aqqd7tq7z6bj3wn3u3sz3uuqc;Javier Guerra Moreno;Javi Guerra;Javi Guerra;8;Midfielder;Centre/Right;7;61;2;1;0;2;0;90;1;0;0;0;1;69;1;7;0;1;0;2;2;0;1;0;0;0;0;1;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;6kc8ieszwg6u00e3sa554y7yt;Luis Jesús Rioja González;Luis Rioja;Luis Rioja;11;Midfielder;Right;2;23;0;1;0;2;1;78;1;0;0;0;3;24;0;2;0;0;1;1;1;0;0;2;1;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;blvf8qsi6iy6ejyer58okyxka;Largie Ramazani;Largie Ramazani;L. Ramazani;17;Attacking Midfielder;Left/Centre;11;24;2;1;0;2;0;90;1;1;0;0;1;29;1;11;0;3;1;0;0;1;1;0;0;0;1;2;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;94md3wf5xab5mnj5niiwq33zd;Filip Ugrinic;Filip Ugrinic;F. Ugrinic;23;Attacking Midfielder;Centre/Right;10;21;1;1;0;2;0;70;1;0;0;0;1;22;0;10;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;dtvmsnqlzn5672xb54zj8u7dh;Umar Sadiq Mesbah;Umar Sadiq;U. Sadiq;6;Striker;Centre;9;7;2;1;0;2;1;90;1;0;0;0;0;16;1;9;0;1;0;0;0;1;1;0;0;2;0;0;0;1;1
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;4rktv6j9sioe0gmu7jt77fsh5;Arnaut Danjuma Adam Groeneveld;Arnaut Danjuma;A. Danjuma;7;Substitute;Attacker;0;9;2;0;0;0;0;20;0;0;0;0;0;11;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;7yieh5r0uzk6d6x9o060c2bfu;Hugo Duro Perales;Hugo Duro;Hugo Duro;9;Substitute;Attacker;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;8vmrboswsfyb5bfoq07s6susp;Thierry Rendall Correia;Thierry Rendall Correia;Thierry Correia;12;Substitute;Defender;0;15;1;0;0;0;0;20;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;9dc4qkvh0vk5kwymibji00kp;Domingos André Ribeiro Almeida;Domingos André Ribeiro Almeida;André Almeida;10;Substitute;Midfielder;0;5;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;d6kzekcwqw0q8fq6wt6rmyusq;Jesús Vázquez Alcalde;Jesús Vázquez;Jesús Vázquez;21;Substitute;Defender;0;6;0;0;0;0;0;12;0;0;0;0;0;7;0;0;0;0;6;1;1;0;0;0;0;0;0;0;1;0;0
