league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;wasFouled;formationPlace;fouls;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;yellowCard;totalSubOff;blockedScoringAtt;goalAssist;goals;ontargetScoringAtt;cornerTaken;totalSubOn;totalOffside;ownGoals
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;2mhvgtcem9qn2yzobtkqiegpg;Tanitoluwa Oluwatimikhin Oluwaseyi;Tani Oluwaseyi;T. Oluwaseyi;21;Substitute;Attacker;0;1;0;0;1;0;17;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;drwacyyicuhy3heg4j0ipqj85;Ayoze Pérez Gutiérrez;Ayoze Pérez;Ayoze Pérez;22;Substitute;Attacker;0;7;0;0;1;1;26;0;0;8;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;bahph7009sc73jl6s2bramn6d;Marko Dmitrović;Marko Dmitrovic;M. Dmitrović;13;Goalkeeper;Centre;1;11;1;6;4;0;90;0;0;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;3ghychnf02zs5pmw2s0ds3p7u;José Salinas Morán;José Salinas;José Salinas;12;Defender;Left;3;39;1;0;4;2;90;0;4;45;1;3;2;0;0;0;8;1;0;1;0;0;0;0;0;0;0;0;1
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;6810qbng9pfg1bztczv11grmd;Leandro Daniel Cabrera Sasía;Leandro Cabrera;L. Cabrera;6;Defender;Left/Centre;6;51;1;1;4;0;90;0;3;53;0;6;1;0;1;4;0;0;2;0;0;0;0;1;1;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;2rqxh5mex336ci45jaw428y5l;Fernando Calero Villa;Fernando Calero;Fernando Calero;5;Defender;Centre/Right;5;35;1;0;2;0;45;0;4;40;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;7h0b81yjiiu356rycsakgd0yc;Omar El Hilali Khayat;Omar El Hilali;O. El Hilali;23;Defender;Right;2;48;1;0;4;0;90;0;5;55;1;2;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;74wjzeja92l4q8fpy1bkmcsfd;Pol Lozano Vizuete;Pol Lozano;Pol Lozano;10;Defensive Midfielder;Left/Centre;4;46;1;0;4;0;90;0;1;52;2;4;2;0;1;2;0;1;2;0;0;0;0;0;1;2;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;7y8ns61qioqu7kfsqzkvkwhuy;Urko González de Zárate Quirós;Urko González de Zárate Quirós;Urko González de Zárate;4;Defensive Midfielder;Centre/Right;8;42;1;0;4;2;90;0;2;51;2;8;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;bce703taa20nxg814t2giuei;Tyrhys Dolan;Tyrhys Dolan;T. Dolan;24;Attacking Midfielder;Left;11;16;1;0;4;0;59;0;0;17;2;11;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;8qvqdjw1d58mw7420lpmk7bah;Eduardo Expósito Jaén;Edu Expósito;Edu Expósito;8;Attacking Midfielder;Centre;10;13;1;0;4;0;59;0;0;20;0;10;1;1;2;0;0;0;0;1;1;1;0;0;0;3;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;1ore4ght7ls393tcpbmah9dcl;Pere Milla Peña;Pere Milla;Pere Milla;11;Attacking Midfielder;Right;7;20;1;0;4;0;72;0;0;23;1;7;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;5fqvl0m1rkzhj9tmafrcxur6c;Roberto Fernández Jaén;Roberto Fernández;Roberto Fernández;9;Striker;Centre;9;2;1;0;4;0;59;0;0;4;3;9;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;4l2rgx65vzgrrxorbc1edq8yd;Enrique García Martínez;Kike García;Kike García;19;Substitute;Attacker;0;9;0;0;0;0;31;0;1;9;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;a8ez7qv4n62b8s45pdo8u07o5;Charles Monginda Pickel;Charles Pickel;C. Pickel;18;Substitute;Midfielder;0;11;0;0;0;0;31;0;1;13;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;a9z0jsjwfteq974bxwucvc4ix;Cyril Ngonge;Cyril Ngonge;C. Ngonge;16;Substitute;Attacker;0;10;0;0;0;0;31;0;0;14;2;0;0;2;2;2;0;0;1;0;0;0;1;0;0;3;1;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;53bjqee7oomr7czgfmm1mcy96;Clemens Riedel;Clemens Riedel;C. Riedel;38;Substitute;Defender;0;19;0;0;2;1;45;0;2;20;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;1am59svvwz5idpdjq307dd5hw;Antoniu Roca Vives;Antoniu Roca;Antoniu Roca;20;Substitute;Attacker;0;2;0;0;0;0;18;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0
