league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalPass;formationPlace;lostCorners;totalClearance;totalTackle;totalThrows;wonTackle;shotOffTarget;totalScoringAtt;yellowCard;blockedScoringAtt;fouls;wasFouled;totalSubOff;cornerTaken;wonCorners;redCard;secondYellow;ontargetScoringAtt;totalSubOn;cleanSheet;saves;goals;totalOffside;goalAssist
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;5dfvefxvwj8kixbajluw25mtx;Stole Dimitrievski;Stole Dimitrievski;S. Dimitrievski;1;Goalkeeper;Centre;1;31;1;2;0;90;39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;5b1q9bpe23j98eoy4fwi7ld5h;José Luis Gayà Peña;José Gayà;José Gayà;14;Defender;Left;3;32;1;0;0;90;35;3;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;5uig03vbbv71f0q31cp3vfbv9;Eray Ervin Cömert;Eray Cömert;E. Cömert;24;Defender;Left/Centre;6;73;1;6;0;88;79;6;0;4;3;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;2u8bekuidiwqz1gvb4vd3uhg;César Tárrega Requeni;César Tárrega;César Tárrega;5;Defender;Centre/Right;5;47;1;0;0;90;56;5;0;7;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;e8s9ssopq5nmp51zymvqp8jbp;Unai Núñez Gestoso;Unai Núñez;Unai Núñez;4;Defender;Right;2;33;1;0;0;90;41;2;0;8;3;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;blvf8qsi6iy6ejyer58okyxka;Largie Ramazani;Largie Ramazani;L. Ramazani;17;Midfielder;Left;11;16;1;0;0;88;21;11;0;4;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;3702btkgwxf6tq92ouekd7ro5;José Luis García Vayá;José Luis García Vayá;Pepelu;18;Midfielder;Left/Centre;8;29;1;0;0;58;34;8;0;2;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;94md3wf5xab5mnj5niiwq33zd;Filip Ugrinic;Filip Ugrinic;F. Ugrinic;23;Midfielder;Centre/Right;4;21;1;0;0;58;23;4;1;1;0;0;0;0;0;1;0;2;1;1;2;0;0;0;0;0;0;0;0;1;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;6kc8ieszwg6u00e3sa554y7yt;Luis Jesús Rioja González;Luis Rioja;Luis Rioja;11;Midfielder;Right;7;27;1;0;0;90;31;7;1;2;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;7yieh5r0uzk6d6x9o060c2bfu;Hugo Duro Perales;Hugo Duro;Hugo Duro;9;Striker;Left/Centre;9;9;1;0;0;58;11;9;0;1;2;0;2;2;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;a6ud2u88utl6khwf0c4qbdox6;Lucas Ezequiel Beltrán;Lucas Beltrán;L. Beltrán;15;Striker;Centre/Right;10;27;1;0;0;90;33;10;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;aqqd7tq7z6bj3wn3u3sz3uuqc;Javier Guerra Moreno;Javi Guerra;Javi Guerra;8;Substitute;Midfielder;0;8;0;0;0;32;12;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;73efpm314q2paeacsvp4e8q8l;Guido Rodríguez;Guido Rodríguez;G. Rodríguez;2;Substitute;Midfielder;0;13;0;0;0;32;14;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;dtvmsnqlzn5672xb54zj8u7dh;Umar Sadiq Mesbah;Umar Sadiq;U. Sadiq;6;Substitute;Attacker;0;6;0;0;0;32;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;9br2z5cf6stmnidehwo5a8afp;Baptiste Santamaría;Baptiste Santamaría;B. Santamaría;22;Substitute;Midfielder;0;1;0;0;0;2;2;0;0;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;d6kzekcwqw0q8fq6wt6rmyusq;Jesús Vázquez Alcalde;Jesús Vázquez;Jesús Vázquez;21;Substitute;Defender;0;0;0;0;0;2;1;0;0;3;1;4;1;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0
