league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;penGoalsConceded;penaltyFaced;saves;totalClearance;totalPass;wasFouled;formationPlace;fouls;lostCorners;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wonTackle;penaltyConceded;totalSubOff;cornerTaken;yellowCard;goals;ontargetScoringAtt;totalOffside;wonCorners;goalAssist;totalSubOn;blockedScoringAtt
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;1;Goalkeeper;Centre;1;12;1;9;1;90;0;0;0;0;32;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;17;Defender;Left;3;39;1;0;1;90;0;0;0;4;49;1;3;1;1;0;0;3;7;2;0;0;0;0;0;0;0;0;1;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;7fmpgkx58o9pivo2bbnxxkt05;Aymeric Jean Louis Gérard Alphonse Laporte;Aymeric Laporte;Aymeric Laporte;14;Defender;Left/Centre;6;40;1;0;1;90;0;0;0;7;45;0;6;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;5kd57453a90zahgdxwkghr816;Aitor Paredes Casamichana;Aitor Paredes;Aitor Paredes;4;Defender;Centre/Right;5;27;1;0;1;90;0;0;0;4;32;0;5;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;b91n9sdabth8oocdawayybdud;Andoni Gorosabel Espinosa;Andoni Gorosabel;Andoni Gorosabel;2;Defender;Right;2;20;1;0;1;66;0;0;0;5;25;0;2;0;0;0;0;3;9;2;0;1;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;ck7lu09geq8mi6vkf2llyi5ii;Mikel Jauregizar Alboniga;Mikel Jauregizar;Mikel Jauregizar;18;Defensive Midfielder;Left/Centre;4;13;1;0;1;61;0;0;0;0;22;1;4;1;0;0;2;3;0;2;0;1;0;0;1;2;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;16;Defensive Midfielder;Centre/Right;8;34;1;0;1;66;0;0;0;2;39;0;8;5;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;ddvvwqxpsqqboupi3gx1ijhed;Iñaki Williams Arthuer;Iñaki Williams;I. Williams;9;Attacking Midfielder;Left;11;20;1;0;1;90;0;0;0;0;30;1;11;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;dfcbvsb7o18lavmonbp5ucwoa;Oihan Sancet Tirapu;Oihan Sancet;Oihan Sancet;8;Attacking Midfielder;Centre;10;20;1;0;1;89;0;0;0;0;26;1;10;1;0;2;3;0;0;0;0;1;0;0;1;1;0;1;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;26wj6flfqi59vgz6vwjgur2ay;Nicolás Serrano Galdeano;Nico Serrano;Nico Serrano;22;Attacking Midfielder;Right;7;10;1;0;1;45;0;0;0;0;11;1;7;1;0;0;1;1;0;1;0;1;2;0;0;0;0;1;0;0;1
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;3tzvbdszdrj1tayik9igbve8l;Gorka Guruzeta Rodríguez;Gorka Guruzeta;Gorka Guruzeta;11;Striker;Centre;9;8;1;0;1;90;0;0;0;1;11;0;9;3;0;0;2;0;0;0;0;0;0;1;0;1;1;0;0;0;1
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;7r7wgbcu7vmlj19m9jpjhu1yi;Jesús Areso Blanco;Jesús Areso;Jesús Areso;12;Substitute;Defender;0;7;0;0;0;24;0;0;0;5;7;0;0;0;0;0;0;2;8;2;0;0;0;0;0;0;0;0;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;20;Substitute;Midfielder;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;7aoe0u87gxgv9tvgrotcfue7e;Roberto Navarro Muñoz;Robert Navarro;Robert Navarro;23;Substitute;Midfielder;0;7;0;0;0;45;0;0;0;0;9;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;1xsrdgt40nb6p9qvt6mf272fo;Alejandro Rego Mora;Alejandro Rego;Alejandro Rego;30;Substitute;Midfielder;0;6;0;0;0;29;0;0;0;1;12;0;0;3;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;83n1qv6ypl625aolzjeqifv11;Mikel Vesga Arruti;Mikel Vesga;Mikel Vesga;6;Substitute;Midfielder;0;7;0;0;0;24;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
