league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;penGoalsConceded;penaltyFaced;saves;totalPass;formationPlace;goalAssist;lostCorners;totalClearance;totalTackle;totalThrows;wonCorners;wonTackle;fouls;penaltyConceded;yellowCard;shotOffTarget;totalScoringAtt;totalSubOff;cornerTaken;wasFouled;blockedScoringAtt;totalOffside;goals;ontargetScoringAtt;penaltyWon;totalSubOn
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;i48mf81fxn2af1xxjzfi8gr9;Daniel Ceballos Fernández;Dani Ceballos;Dani Ceballos;19;Substitute;Midfielder;0;12;0;0;0;17;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;ecmpznived7xp45o7bm96csno;Jorge Cestero Sancho;Jorge Cestero;Cestero;28;Substitute;Midfielder;0;4;0;0;0;11;0;0;0;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;6w5wyari2p4bh2zzy2x2f6hg5;David Olatukunbo Alaba;David Alaba;D. Alaba;4;Substitute;Defender;0;24;0;0;0;30;0;0;0;24;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;w503zyr8ipyobglth281uklx;Alejandro Remiro Gargallo;Álex Remiro;Álex Remiro;1;Goalkeeper;Centre;1;32;1;3;4;90;2;2;0;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;bj929w5yi7lnz36jxsi5qnq7e;Aihen Muñoz Capellán;Aihen Muñoz;Aihen Muñoz;3;Defender;Left;3;34;1;0;4;90;2;0;0;39;3;0;0;0;1;6;0;0;0;0;0;1;2;0;1;0;0;0;0;1;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;48gjuou5eashpj8wbwd18iju1;Igor Zubeldia Elorza;Igor Zubeldia;Igor Zubeldia;5;Defender;Left/Centre;6;67;1;0;4;90;2;0;0;72;6;0;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;8krgbfnydbtyongkwnsaj43kk;Jon Martín Vicente;Jon Martín;Jon Martín;31;Defender;Centre/Right;5;70;1;0;4;90;2;0;0;75;5;0;2;4;3;0;0;3;0;0;0;0;2;0;0;1;1;0;0;1;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;ezbplvktzcvzh5kwur32110mi;Jon Mikel Aramburu Mejías;Jon Aramburu;J. Aramburu;2;Defender;Right;2;41;1;0;4;90;2;0;0;45;2;0;0;1;3;7;0;2;3;2;0;0;0;0;0;3;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;706la37b8u3v3n6mqtbjs73mc;Jon Gorrotxategi Etxaniz;Jon Gorrotxategi;Jon Gorrotxategi;4;Defensive Midfielder;Left/Centre;4;87;1;0;4;90;2;0;0;90;4;0;1;2;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;c320492cbp1otejfp1i1oane1;Yangel Clemente Herrera Ravelo;Yangel Herrera;Y. Herrera;12;Defensive Midfielder;Centre/Right;8;27;1;0;4;60;2;0;0;28;8;0;0;1;1;0;0;1;1;0;0;1;1;1;0;4;0;0;0;0;1;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;a5sz66h4t5kg1umvtth785jis;Wesley Gassova Ribeiro Teixeira;Wesley Gassova Ribeiro Teixeira;Wesley;22;Attacking Midfielder;Left;11;8;1;0;3;45;1;0;0;11;11;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;dsmcqfl0e1be4ag7czbnolo15;Carlos Soler Barragán;Carlos Soler;Carlos Soler;18;Attacking Midfielder;Centre;10;55;1;0;4;90;2;0;0;60;10;0;0;0;1;0;0;0;2;0;0;1;1;0;3;1;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;aka2yqxmqpioxc1qzkl62ejv8;Pablo Marín Tejada;Pablo Marín;Pablo Marín;15;Attacking Midfielder;Right;7;14;1;0;4;73;2;0;0;15;7;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal Ugarte;Mikel Oyarzabal;Mikel Oyarzabal;10;Striker;Centre;9;10;1;0;4;60;2;0;0;10;9;0;0;0;0;0;0;0;0;0;0;2;3;1;0;1;0;0;1;1;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;2hqyw29ta24b0fk146a4mlf6c;Daniel Díaz Gándara;Daniel Díaz;Dani Díaz;26;Substitute;Attacker;0;3;0;0;0;17;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;7pmigpf4yfi6dfih8e1ogdwb9;Gonçalo Manuel Ganchinho Guedes;Gonçalo Manuel Ganchinho Guedes;Gonçalo Guedes;11;Substitute;Attacker;0;10;0;0;1;45;1;0;0;13;0;0;0;0;0;2;2;0;1;0;0;0;2;0;0;0;2;0;0;0;0;1
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;et849xmcdgsy5itb8i4w7qkq2;Beñat Turrientes Imaz;Beñat Turrientes;Beñat Turrientes;8;Substitute;Midfielder;0;27;0;0;0;30;0;0;0;32;0;0;0;0;2;0;0;1;1;0;1;0;0;0;2;0;0;0;0;0;0;1
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;euur9yvhgrieu4kl0vdkh244q;Orri Steinn Óskarsson;Orri Óskarsson;O. Óskarsson;9;Substitute;Attacker;0;3;0;0;0;30;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
