league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalClearance;totalPass;totalTackle;formationPlace;fouls;lostCorners;totalThrows;wasFouled;wonTackle;goalAssist;shotOffTarget;totalOffside;totalScoringAtt;ontargetScoringAtt;totalSubOff;blockedScoringAtt;yellowCard;wonCorners;cornerTaken;goals;totalSubOn;saves
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;4x854vpovag131b2kdutv4qju;Sergi Cardona Bermúdez;Sergi Cardona;Sergi Cardona;23;Defender;Left;3;15;1;0;3;80;4;22;2;3;0;0;9;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;bfdtduknquzhr2br7ahlgvvo4;Renato Palma Veiga;Renato Palma Veiga;Renato Veiga;12;Defender;Left/Centre;6;32;1;1;4;90;4;34;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;9rtfwu0z7qtk1kglenp2vm13o;Pau Navarro Badenes;Pau Navarro;Pau Navarro;6;Defender;Centre/Right;5;27;1;3;4;90;5;28;6;5;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;albt55j4oir1veynmos532psk;Álvaro Santiago Mouriño González;Santiago Mouriño;S. Mouriño;15;Defender;Right;2;24;1;0;4;90;4;30;2;2;3;1;7;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;1qkneebzln8byl9td2aswznmy;Alberto Moleiro González;Alberto Moleiro;Alberto Moleiro;20;Midfielder;Left;11;15;1;0;2;67;0;26;4;11;1;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;ekm47qd8w1x0456lm1tmf5re1;Pape Alassane Gueye;Pape Gueye;P. Gueye;18;Midfielder;Left/Centre;8;17;1;0;4;90;2;25;4;8;1;0;0;2;2;0;0;0;1;1;0;0;0;0;0;1;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;b5rea5r4h8bclpenau2au142x;Santiago Comesaña Veiga;Santi Comesaña;Santi Comesaña;14;Midfielder;Centre/Right;4;16;1;0;3;80;2;20;2;4;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;3n9jnuteyjx6w6dxviuead0b9;Nicolas Pépé;Nicolas Pépé;N. Pépé;19;Midfielder;Right;7;17;1;0;3;84;0;22;1;7;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;drwacyyicuhy3heg4j0ipqj85;Ayoze Pérez Gutiérrez;Ayoze Pérez;Ayoze Pérez;22;Striker;Left/Centre;9;7;1;0;2;67;0;12;1;9;0;0;0;0;1;0;2;3;2;0;1;0;0;1;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;8bvn7mn5tjfj3l2bnpvm75gmi;Georges Mikautadze;Georges Mikautadze;G. Mikautadze;9;Striker;Centre/Right;10;17;1;0;4;90;0;20;1;10;0;0;0;4;1;0;0;1;0;0;0;0;0;0;1;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;acx78ftnm61hm01wpmme77hbe;Tajon Trevor Buchanan;Tajon Buchanan;T. Buchanan;17;Substitute;Attacker;0;0;0;0;2;23;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;7lo14fnq32yyyqql6jws5w3xl;Alfonso González Martínez;Alfon González;Alfon González;11;Substitute;Attacker;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;2mhvgtcem9qn2yzobtkqiegpg;Tanitoluwa Oluwatimikhin Oluwaseyi;Tani Oluwaseyi;T. Oluwaseyi;21;Substitute;Attacker;0;2;0;0;1;6;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;c29mprqv2ulztd22b6uckczx1;Daniel Parejo Muñoz;Dani Parejo;Dani Parejo;10;Substitute;Midfielder;0;1;0;0;1;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;eh70fwampgdyfv3hu25o2qx;Alfonso Pedraza Sag;Alfonso Pedraza;Alfonso Pedraza;24;Substitute;Defender;0;4;0;0;2;23;0;7;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0
