league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;wasFouled;formationPlace;blockedScoringAtt;fouls;totalOffside;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;yellowCard;ontargetScoringAtt;ownGoals;shotOffTarget;totalSubOff;goalAssist;cornerTaken;goals;totalSubOn
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;6wplm29z7qxxmujyc2ml19gix;Ionuț Andrei Radu;Ionut Radu;I. Radu;13;Goalkeeper;Centre;1;13;1;5;1;3;90;6;2;22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;3sy16pz110zmyq073ao24l1ck;Carlos Domínguez Cáceres;Carlos Domínguez;Carlos Domínguez;24;Defender;Left/Centre;4;62;1;0;1;1;85;0;5;65;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;3qrk8nw6nc8o96n7jr1az21ux;Joseph Aidoo;Joseph Aidoo;J. Aidoo;4;Defender;Centre;5;60;1;0;1;1;90;0;6;62;1;5;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;79n0dyjagmleor1fpwl25qql0;Javier Rodríguez Galiano;Javi Rodríguez;Javi Rodríguez;32;Defender;Centre/Right;6;64;1;0;1;2;90;0;2;73;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;5tc1y5n3h4ties7gbc3zd9j6y;Sergio Carreira Vilariño;Sergio Carreira;Sergio Carreira;5;Midfielder;Left;3;36;1;0;1;0;90;0;3;43;0;3;0;1;0;1;0;3;1;0;0;1;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;64ctdbd0w5ikj0fkcuu9jdbhm;Moriba Kourouma Kourouma;Moriba Kourouma Kourouma;I. Moriba;6;Midfielder;Left/Centre;8;39;1;0;1;0;90;0;2;44;0;8;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;a39ntr1ek9aavke18yucd0r2s;Miguel Román González;Miguel Román;Miguel Román;16;Midfielder;Centre/Right;7;38;1;0;1;0;90;0;3;44;0;7;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;c3sl9ajm4q424r4u37iath3hl;Óscar Mingueza García;Óscar Mingueza;Óscar Mingueza;3;Midfielder;Right;2;44;1;0;1;3;85;0;2;48;0;2;0;0;0;1;2;7;0;1;0;1;0;0;1;1;3;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;daid84a2zbh8rasleahdp8nis;Hugo Álvarez Antúnez;Hugo Álvarez;Hugo Álvarez;23;Striker;Left/Centre;11;18;1;0;1;0;59;0;0;21;0;11;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;9mlj7fxon5zy1qmktvvcwjrl6;Ferran Jutglà Blanch;Ferran Jutglà;Ferran Jutglà;9;Striker;Centre;9;9;1;0;1;0;73;0;0;9;1;9;0;1;0;3;0;0;3;0;1;3;0;0;1;0;0;1;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;9g4ojrys88awchyj6zgmd6oes;Fernando López González;Fer López;Fer López;8;Striker;Centre/Right;10;18;1;0;1;0;73;0;0;22;2;10;1;2;0;1;1;0;2;0;0;0;0;0;1;0;3;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;96h53hatq4r3zsfvn5xl752c4;Andrés Antañón Vieites;Andrés Antañón;Andrés Antañón;36;Substitute;Midfielder;0;5;0;0;0;0;17;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;530jf9kq6s7dqggz6how0lt04;Jones El Abdellaoui;Jones El Abdellaoui;J. El Abdellaoui;39;Substitute;Attacker;0;3;0;0;0;0;17;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;c2z40s3jlj0xsyoihce3ksdbe;Manuel Fernández Arroyo;Manu Fernández;Manu Fernández;12;Substitute;Defender;0;2;0;0;0;0;5;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;75xbiozismh96vufhrhkng4mi;Javier Rueda García;Javi Rueda;Javi Rueda;17;Substitute;Defender;0;1;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;6f27yvbqcngegwsg2ozxxdj4;e91yegwfliqhfy9yyk19otafo;Williot Theo Swedberg;Williot Swedberg;W. Swedberg;19;Substitute;Midfielder;0;5;0;0;0;0;31;0;0;8;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
