league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;totalTackle;totalThrows;wasFouled;wonTackle;totalSubOff;blockedScoringAtt;fouls;ontargetScoringAtt;totalScoringAtt;wonCorners;yellowCard;shotOffTarget;cornerTaken;totalOffside;totalSubOn
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;7mvqysbmyf6uj3jny3qpqw2ga;Matteo Ruggeri;Matteo Ruggeri;M. Ruggeri;3;Defender;Left;3;32;1;1;0;0;90;0;3;36;3;3;7;0;1;0;0;0;0;0;1;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;3gsprcdyogabeb8lr2y0bmytx;Clément Nicolas Laurent Lenglet;Clément Lenglet;C. Lenglet;15;Defender;Left/Centre;6;37;0;1;0;0;45;0;2;39;6;2;0;0;1;1;0;1;0;0;0;1;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;6xulax65kp4aid70nk7g5jr2t;Robin Aimé Robert Le Normand Mainfray;Robin Le Normand;Robin Le Normand;24;Defender;Centre/Right;5;53;1;1;0;0;90;0;9;58;5;3;0;2;1;0;0;2;0;0;0;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;ieu0x9fy8hpqyztdjg8bgpnt;Nahuel Molina Lucero;Nahuel Molina;N. Molina;16;Defender;Right;2;38;1;1;0;1;90;0;1;50;2;1;5;0;0;0;0;1;0;0;3;0;0;4;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;eh1ul4duphy1iz4odwx9tkjjd;Nicolás Iván González;Nico González;N. González;23;Midfielder;Left;11;14;0;1;0;0;73;0;1;25;11;1;1;2;1;1;0;0;2;4;2;0;2;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;3ub05nnpt9o7s387z6oj8vf56;João Lucas de Souza Cardoso;Johnny Cardoso;J. Cardoso;5;Midfielder;Left/Centre;8;54;1;1;0;0;90;0;2;59;8;6;0;2;1;0;1;2;0;1;0;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;9e7ybe0nsu3byq2tteey3zuy2;Pablo Barrios Rivas;Pablo Barrios;Pablo Barrios;8;Midfielder;Centre/Right;4;18;0;1;0;0;50;0;0;20;4;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;14;Midfielder;Right;7;26;0;1;0;0;59;0;1;32;7;1;2;1;1;1;0;2;0;0;0;0;0;0;1;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;6akzpi6rd6qq0ke07ojnhpoet;Alexander Sørloth;Alexander Sørloth;A. Sørloth;9;Striker;Left/Centre;9;6;0;1;0;1;27;0;1;6;9;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;4ea0sjczqa5ah1w720zlakkfe;Thiago Ezequiel Almada;Thiago Almada;T. Almada;11;Striker;Centre/Right;10;28;0;1;0;0;58;0;0;32;10;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;9ikkuxd19avliz1khcrm82gyy;Julián Alvarez;Julián Alvarez;J. Alvarez;19;Substitute;Attacker;0;11;0;0;0;0;63;0;1;13;0;0;1;1;0;0;0;1;2;2;1;0;0;1;1;1
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;5zoz3mjooujpv0wdcphyrztd6;Alejandro Baena Rodríguez;Álex Baena;Álex Baena;10;Substitute;Midfielder;0;13;0;0;0;0;31;0;1;13;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;1vyh50nfaq2kq5pmivpkc1psl;Dávid Hancko;Dávid Hancko;D. Hancko;17;Substitute;Defender;0;28;0;0;0;1;45;0;3;33;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;2hgczqjd0r748ye3zmqm0am1g;Alejandro Monserrate Pueyo;Jano Monserrate;Jano Monserrate;27;Substitute;Midfielder;0;5;0;0;0;0;17;0;0;6;0;2;0;1;2;0;0;1;0;0;0;0;0;0;0;1
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;d0kzduhj90areaill2gvvw6xg;Marc Pubill Pagès;Marc Pubill;Marc Pubill;18;Substitute;Defender;0;17;0;0;0;0;32;0;2;18;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;b9kfek16otvdorssn0wzkb36d;Jorge Resurrección Merodio;Jorge Resurrección Merodio;Koke;6;Substitute;Midfielder;0;35;0;0;0;0;40;0;1;41;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1
