league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;wonTackle;saves;totalScoringAtt;cornerTaken;goalsConceded;totalPass;possessionPercentage;totalClearance;ontargetScoringAtt;fkFoulWon;totalTackle;shotOffTarget;accuratePass;lostCorners;fkFoulLost;subsMade;totalThrows;goalKicks;wonCorners;formationUsed;cleanSheet;goalAssist;totalOffside;blockedScoringAtt;subsGoals;goals
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;442;jkox030vlb7xszen474w83px;Miguel Ángel Sánchez Muñoz;home;#FF0000;#FF0000;7;8;2;1;4;420;43.6;28;1;11;13;1;358;8;13;5;13;4;1;442;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;4ku8o6uf87yd8iecdalipo6wd;442;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;third;#0033CC;0;9;1;19;8;0;555;56.4;17;11;13;20;1;495;1;11;5;16;5;8;442;1;3;2;7;3;4
