league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalYellowCard;cornerTaken;totalTackle;fkFoulWon;blockedScoringAtt;totalOffside;saves;possessionPercentage;goalAssist;goalKicks;lostCorners;totalPass;wonTackle;wonCorners;accuratePass;subsMade;shotOffTarget;totalScoringAtt;fkFoulLost;totalClearance;totalThrows;goals;goalsConceded;ontargetScoringAtt;formationUsed;subsGoals
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;4231;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;home;#009900;#FFFFFF;1;3;16;11;2;4;1;47.4;1;7;2;487;9;3;418;5;8;14;8;8;18;1;1;4;4231;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ba5e91hjacvma2sjvixn00pjo;4231;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;away;#000000;0;3;2;22;7;3;3;3;52.6;1;9;3;542;18;2;451;5;4;9;12;14;21;1;1;2;4231;1
