league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;goalKicks;ontargetScoringAtt;fkFoulWon;blockedScoringAtt;goalAssist;totalPass;totalClearance;totalThrows;totalScoringAtt;cornerTaken;goals;totalTackle;lostCorners;goalsConceded;shotOffTarget;accuratePass;possessionPercentage;fkFoulLost;subsMade;wonTackle;saves;wonCorners;formationUsed;subsGoals;totalYellowCard;totalOffside
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;442;5si50dq9be9264rxt7td0padx;Marcelino García Toral;home;#FFFF00;0;13;7;14;3;3;519;17;9;12;3;4;9;5;2;2;462;51.1;8;5;4;4;3;442;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;10eyb18v5puw4ez03ocaug09m;4231;dbgwodtjsuulnminyfpr8im6t;Joaquín de Jesús Caparrós Camino;home;#FFFFFF;0;8;6;6;2;2;487;13;15;17;5;2;14;3;4;9;435;48.9;14;5;8;3;5;4231;1;1;3
