league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalScoringAtt;goalAssist;subsMade;wonTackle;accuratePass;goals;totalThrows;possessionPercentage;fkFoulWon;totalClearance;totalPass;cleanSheet;goalKicks;lostCorners;wonCorners;fkFoulLost;blockedScoringAtt;ontargetScoringAtt;totalOffside;cornerTaken;totalTackle;saves;shotOffTarget;formationUsed;goalsConceded;totalYellowCard
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;442;dfjaduhy0txt0xudn96ghbeuh;Borja Jiménez Sáez;home;#FFFFFF;#0066CC;16;2;5;11;405;3;16;54.5;16;14;462;1;4;4;3;11;3;6;2;3;14;2;7;442;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;442;8080pnojsna05ptw43pqhv8b9;Álvaro Rubio Robres;third;#FF3366;0;6;0;5;13;319;0;16;45.5;11;25;388;0;7;3;4;16;1;2;0;4;21;3;3;442;3;1
