league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;possessionPercentage;totalThrows;totalOffside;ontargetScoringAtt;fkFoulWon;lostCorners;saves;accuratePass;wonCorners;goals;goalKicks;subsMade;totalPass;totalClearance;cornerTaken;subsGoals;cleanSheet;shotOffTarget;blockedScoringAtt;totalYellowCard;totalTackle;wonTackle;totalScoringAtt;fkFoulLost;goalAssist;formationUsed;goalsConceded
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;2l0ldgiwsgb8d6y3z0sfgjzyj;4231;5v9hgzr9iyklszdcfw2o51r6d;Vicente Moreno Peris;home;#FF0000;#000066;46.5;16;1;3;5;6;6;282;8;2;10;5;350;29;8;1;1;7;6;1;12;5;16;11;2;4231;0
73;2425;9la1uxyxrz4m35038kcxzgob8;osa-esp;c8llrezkm3b3op4afrou6b487;4231;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;home;#FFFFFF;#0066FF;53.5;19;2;6;10;8;2;350;6;0;7;5;413;24;6;0;0;5;5;1;13;8;16;5;0;4231;2
