league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;goalAssist;shotOffTarget;totalTackle;wonCorners;cornerTaken;goalsConceded;totalScoringAtt;totalThrows;goals;possessionPercentage;totalPass;totalYellowCard;totalClearance;goalKicks;saves;totalRedCard;totalOffside;fkFoulWon;ontargetScoringAtt;lostCorners;wonTackle;subsMade;blockedScoringAtt;accuratePass;fkFoulLost;formationUsed
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;442;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;home;#000099;0;1;1;14;2;2;2;6;15;1;34.5;311;3;24;8;6;1;3;10;1;6;10;5;4;233;13;442
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;6f27yvbqcngegwsg2ozxxdj4;3421;e2ntrys15j912zpqy0xb4lg45;Claudio Giráldez González;third;#FF6600;0;2;5;15;6;6;1;15;24;2;65.5;582;4;11;2;0;0;1;12;8;2;8;5;2;508;10;3421
