league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalThrows;fkFoulLost;totalOffside;fkFoulWon;ontargetScoringAtt;goalKicks;wonCorners;totalScoringAtt;lostCorners;subsMade;totalClearance;cleanSheet;shotOffTarget;wonTackle;cornerTaken;blockedScoringAtt;saves;totalTackle;accuratePass;totalYellowCard;possessionPercentage;totalPass;formationUsed
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;4231;26h5p70ffxotb1mv82ut6qx91;Iñigo Pérez Soto;home;#FFFFFF;#FF0000;23;9;3;13;8;7;11;27;2;4;16;1;10;9;11;9;2;13;397;2;56.8;488;4231
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;50x1m4u58lffhq6v6ga1hbxmy;442;f2i75nau3bjkt1i54farofmqd;Jagoba Arrasate Elustondo;home;#FF0000;#000000;20;14;3;9;2;13;2;9;11;5;36;1;5;10;2;2;8;16;290;2;43.2;380;442
