league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;fkFoulWon;goalsConceded;totalYellowCard;totalClearance;lostCorners;totalThrows;accuratePass;ontargetScoringAtt;totalTackle;cornerTaken;wonCorners;penaltyFaced;totalScoringAtt;saves;wonTackle;penGoalsConceded;possessionPercentage;shotOffTarget;subsMade;totalOffside;fkFoulLost;totalPass;penaltyConceded;goalKicks;formationUsed;goals;subsGoals;goalAssist;blockedScoringAtt;penaltyWon;cleanSheet
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;4231;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;home;#FF0000;#FFFFFF;9;3;1;19;6;11;167;1;11;2;2;1;9;1;9;1;24;8;5;6;21;216;1;6;4231;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;4231;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;third;#33FF00;#99FF99;21;0;0;14;2;16;663;4;17;6;6;0;13;2;8;0;76;6;5;1;10;720;0;7;4231;3;1;1;3;1;1
