league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalPass;penaltyWon;shotOffTarget;goalAssist;possessionPercentage;accuratePass;saves;ontargetScoringAtt;fkFoulLost;totalThrows;totalTackle;totalClearance;lostCorners;cornerTaken;totalScoringAtt;goals;wonTackle;totalOffside;wonCorners;subsMade;cleanSheet;fkFoulWon;goalKicks;blockedScoringAtt;formationUsed;penaltyConceded;penaltyFaced;penaltySave;goalsConceded
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;433;pc8qy7gqbtpbkgefp4j3ws0l;Carlo Ancelotti;home;#FFFFFF;0;715;1;5;1;62;661;1;8;5;11;14;10;4;11;16;2;9;3;11;4;1;6;10;3;433;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;442;4hjnfl3z9hlmz2kwwycfy7xsl;Imanol Alguacil Barrenetxea;away;#CC9900;#000000;435;0;4;0;38;388;6;1;7;11;20;25;11;4;9;0;9;1;4;5;0;5;7;4;442;1;1;1;2
