match_id;player_idss;teamss;opponent;player;positionss;shirt_number;totalPassss;accuratePassss;totalLongBalls;accurateLongBalls;goalAssistss;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;penaltyFacedss;savesss;totalKeeperSweeper;accurateKeeperSweeper;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;aerialWon;duelLost;duelWon;totalContest;shotOffTargetss;totalClearancess;outfielderBlock;interceptionWon;wasFouledss;foulsss;totalOffsidess;expectedGoals;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;shotValueNormalized;challengeLost;totalTackless;wonTackless;unsuccessfulTouch;dispossessed;onTargetScoringAttempt;penaltyConcededss;expectedGoalsOnTarget;keyPass;wonContest;accurateCross;bigChanceCreated;bigChanceMissed;goodHighClaim;blockedScoringAttempt;goalsss;penaltyWonss;errorLeadToAShot;lastManTackle;hitWoodwork;errorLeadToAGoal;punches;ownGoals;penaltySavess;penaltyMiss;league;season;match;match_slug;teamsw;player_idsw;name;short_name;match_name;positionsw;pos_side;formation_place;accuratePasssw;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;penaltyFacedsw;penaltySavesw;savessw;totalClearancesw;totalPasssw;formationPlace;foulssw;goalssw;ontargetScoringAtt;totalScoringAtt;totalTacklesw;wonTacklesw;shotOffTargetsw;totalSubOff;totalThrows;yellowCard;penaltyConcededsw;wasFouledsw;cornerTaken;totalOffsidesw;wonCorners;blockedScoringAtt;totalSubOn;goalAssistsw;penaltyWonsw;Venue
14083315;946381;Sevilla;Girona;Akor Adams;F;9;14.0;10.0;0.0;0.0;0.0;6.0;6.0;4.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;74.0;23.0;6.4;6.0;0.0339155;42.723148338261;6.0;-18.776072010317;0.0;0;0.0;0.04;-0.45;0.0;0.0;1.0;2.0;1.0;5.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Sevilla;6mf11pv0pfvyl9vom1i1pi0yy;Akor Jerome Adams;Akor Adams;A. Adams;Striker;Left/Centre;9;10;1;0;1;0;74;0;0;0;2;14;9;1;0;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;Home
14083315;1010655;Sevilla;Girona;Juanlu Sánchez;M;16;19.0;18.0;2.0;2.0;0.0;7.0;7.0;11.0;12.0;2.0;0.0;0.0;0.0;0.0;0.0;45.0;38.0;7.2;5.0;0.0704115;102.64385057144;4.0;63.954191181788;0.0;0;0.0;0.23;0.14;0.23;0.0;4.0;1.0;0.0;3.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;34.598634408237;83.469518599641;2.0;0.0;0.0;5.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Sevilla;7j2h7bq14b9n6xephp8vchfu2;Juan Luis Sánchez Velasco;Juanlu Sánchez;Juanlu Sánchez;Substitute;Midfielder;0;18;0;0;0;1;45;0;0;0;1;19;0;0;0;0;0;5;3;0;0;4;0;0;0;0;0;0;0;1;0;0;Home
14083315;1534422;Sevilla;Girona;Oso;D;36;22.0;19.0;0.0;0.0;0.0;4.0;4.0;15.0;18.0;3.0;0.0;0.0;0.0;0.0;0.0;45.0;38.0;6.8;8.0;0.108424;145.7845092249;15.0;71.774149406915;0.0;2;0.0;-0.04;0.28;-0.03;0.0;5.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;0.1138;26.696927037443;59.947107782135;3.0;-0.27;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0861;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Sevilla;6bj5k49arillmrgqk04bxvx1w;Joaquín Martínez Gauna;Joaquín Martínez Gauna;Oso;Substitute;Defender;0;19;0;0;0;0;45;0;0;0;0;22;0;0;0;1;2;0;0;1;0;4;0;0;2;3;1;1;0;1;0;0;Home
14083315;875890;Sevilla;Girona;Chidera Ejuke;F;21;18.0;16.0;0.0;0.0;0.0;2.0;2.0;14.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;45.0;32.0;7.3;9.0;0.0865084;148.51773973095;12.0;85.321055993469;0.0;0;0.0;0.13;0.25;0.13;0.0;3.0;0.0;0.0;3.0;7.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;15.72602064497;45.859326473754;3.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Sevilla;6ufkq71qh9wrfyaez5yi94e09;Chidera Ejuke;Chidera Ejuke;C. Ejuke;Substitute;Attacker;0;16;0;0;0;0;45;0;0;0;0;18;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;2;0;1;0;0;Home
14083315;799054;Sevilla;Girona;Djibril Sow;M;20;17.0;17.0;0.0;0.0;0.0;4.0;4.0;13.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;18.0;6.5;0.0;0.015561;24.388869393674;3.0;5.9636354132076;0.0;0;0.0;-0.1;0.03;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Sevilla;7cdiijsvnfc7tafy0zkf4uz9;Mohameth Djibril Ibrahima Sow;Djibril Sow;D. Sow;Substitute;Midfielder;0;17;0;0;0;0;27;0;0;0;0;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Home
14083315;34120;Sevilla;Girona;Alexis Sánchez;F;10;8.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;16.0;13.0;6.7;2.0;0.0260836;12.11753694269;2.0;5.6097079754205;0.0;1;0.0;0.05;0.27;0.25;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0655;0.0;0.0;0.0;-0.04;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Sevilla;vl1b0gayryiqvl5dlukpmswl;Alexis Alejandro Sánchez Sánchez;Alexis Sánchez;A. Sánchez;Substitute;Attacker;0;8;0;0;0;0;16;0;0;0;1;8;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;Home
14083315;164343;Girona;Sevilla;Paulo Gazzaniga;G;13;41.0;26.0;25.0;10.0;0.0;23.0;24.0;3.0;17.0;12.0;1.0;0.0;2.0;0.0;0.0;90.0;56.0;7.3;15.0;0.00070367;23.15295292458;4.0;4.2378000960742;0.4314;0;-0.1033;0.16;0.0;-0.04;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Girona;eavhyxb9dfjh0jp5yzg8p8udx;Paulo Dino Gazzaniga Farias;Paulo Gazzaniga;P. Gazzaniga;Goalkeeper;Centre;1;26;1;8;1;0;90;0;0;2;2;41;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Away
14083315;1632454;Girona;Sevilla;Hugo Rincón;D;2;36.0;27.0;4.0;1.0;1.0;15.0;18.0;12.0;18.0;3.0;0.0;0.0;0.0;0.0;0.0;90.0;56.0;6.8;11.0;0.0383053;112.66759324182;8.0;82.317461415217;0.0;1;0.0;-0.01;0.03;-0.14;0.0;0.0;1.0;2.0;4.0;8.0;1.0;1.0;1.0;0.0;1.0;3.0;3.0;0.0;0.178;34.434810071431;56.50846060055;2.0;-0.06;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Girona;eku9q64i0rwdxytris5ahfyms;Hugo Rincón Lumbreras;Hugo Rincón;Hugo Rincón;Defender;Right;2;27;1;0;1;0;90;0;0;0;1;36;2;3;0;0;1;2;2;1;0;6;0;0;3;0;0;0;0;0;1;0;Away
14083315;1485300;Girona;Sevilla;Vitor Reis;D;12;44.0;38.0;5.0;3.0;0.0;31.0;34.0;7.0;10.0;2.0;0.0;0.0;0.0;0.0;0.0;90.0;55.0;6.5;6.0;0.00404948;102.96751665361;12.0;42.162345404653;0.0;0;0.0;0.06;0.11;-0.02;0.0;0.0;2.0;0.0;4.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;24.909377654572;41.332195505819;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Girona;bh4p6egq7e7htivuu0qdjqiac;Vitor de Oliveira Nunes dos Reis;Vitor de Oliveira Nunes dos Reis;Vitor Reis;Defender;Centre/Right;5;38;1;0;1;1;90;0;0;0;2;44;5;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Away
14083315;44864;Girona;Sevilla;Daley Blind;D;17;70.0;63.0;6.0;3.0;0.0;41.0;44.0;22.0;26.0;5.0;0.0;0.0;0.0;0.0;0.0;90.0;86.0;7.2;7.0;0.00926487;258.02643736277;25.0;170.50432955735;0.0;0;0.0;0.3;0.2;-0.07;0.0;0.0;1.0;2.0;2.0;6.0;1.0;0.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;48.580537691384;66.878808331875;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;Girona;3kx4mltrob4yta5g6kr2u8ic5;Daley Blind;Daley Blind;D. Blind;Defender;Left/Centre;6;63;1;0;1;1;90;0;0;0;7;70;6;1;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;Away
