league;season;id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
73;2526;1092769;Yáser Asprilla;;;;;;;;;;;;;;
73;2526;35612;Axel Witsel;;;;;;;;;;;;;;
73;2526;910031;Alejandro Baena;;;;;;;;;;;;;;
73;2526;353138;Marcos Llorente;;;;;;;;;;;;;;
73;2526;887055;Cucho Hernández;;;;;;;;;;;;;;
73;2526;37318;Ante Budimir;;;;;;;;;;;;;;
73;2526;965031;Andrei Rațiu;;;;;;;;;;;;;;
73;2526;865651;Giacomo Raspadori;;;;;;;;;;;;;;
73;2526;1590121;Jorge Cestero;;;;;;;;;;;;;;
73;2526;580550;Clément Lenglet;;;;;;;;;;;;;;
73;2526;361790;Donny van de Beek;;;;;;;;;;;;;;
73;2526;69408;Marcos Alonso;;;;;;;;;;;;;;
73;2526;973290;Tajon Buchanan;;;;;;;;;;;;;;
73;2526;797291;Unai Simón;;;;;;;;;;;;;;
73;2526;1142588;Pablo Barrios;;;;;;;;;;;;;;
73;2526;1064026;Omar El Hilali;;;;;;;;;;;;;;
73;2526;1116388;Jon Aramburu;;;;;;;;;;;;;;
73;2526;962890;Ilaix Moriba;;;;;;;;;;;;;;
73;2526;787751;Robin Le Normand;;;;;;;;;;;;;;
73;2526;1126447;Lucas Cepeda;;;;;;;;;;;;;;
73;2526;873189;Juan Foyth;;;;;;;;;;;;;;
73;2526;1939173;Jan Virgili;;;;;;;;;;;;;;
73;2526;949156;Luka Sučić;;;;;;;;;;;;;;
73;2526;984624;Yéremy Pino;;;;;;;;;;;;;;
73;2526;310874;Vedat Muriqi;;;;;;;;;;;;;;
73;2526;191182;Thomas Lemar;;;;;;;;;;;;;;
73;2526;325355;José María Giménez;;;;;;;;;;;;;;
73;2526;84539;Koke;;;;;;;;;;;;;;
73;2526;263651;Juan Musso;;;;;;;;;;;;;;
73;2526;190159;André Silva;;;;;;;;;;;;;;
73;2526;942836;Haissem Hassan;;;;;;;;;;;;;;
73;2526;1000150;Zito Luvumbo;;;;;;;;;;;;;;
73;2526;862223;Manor Solomon;;;;;;;;;;;;;;
73;2526;990169;Johnny Cardoso;;;;;;;;;;;;;;
73;2526;1084730;Bryan Zaragoza;;;;;;;;;;;;;;
73;2526;319735;Viktor Tsygankov;;;;;;;;;;;;;;
73;2526;1520799;Maroan Sannadi;;;;;;;;;;;;;;
73;2526;19356;Iago Aspas;;;;;;;;;;;;;;
73;2526;908714;Arnau Tenas;;;;;;;;;;;;;;
73;2526;823631;Dodi Lukebakio;;;;;;;;;;;;;;
73;2526;807771;Dávid Hancko;;;;;;;;;;;;;;
73;2526;913679;Pathé Ismaël Ciss;;;;;;;;;;;;;;
73;2526;1119345;Obed Vargas;;;;;;;;;;;;;;
73;2526;989113;Rodrigo Riquelme;;;;;;;;;;;;;;
73;2526;1129401;Nelson Deossa;;;;;;;;;;;;;;
73;2526;21555;César Azpilicueta;;;;;;;;;;;;;;
73;2526;1066045;Arsen Zakharyan;;;;;;;;;;;;;;
73;2526;905639;Kwasi Sibo;;;;;;;;;;;;;;
73;2526;1117026;Federico Redondo;;;;;;;;;;;;;;
73;2526;855835;Sergio Gómez;;;;;;;;;;;;;;
73;2526;1458073;Nobel Mendy;;;;;;;;;;;;;;
73;2526;1884145;Christantus Uche;;;;;;;;;;;;;;
73;2526;839585;Yangel Herrera;;;;;;;;;;;;;;
73;2526;606346;Eric Bailly;;;;;;;;;;;;;;
73;2526;1126779;Williot Swedberg;;;;;;;;;;;;;;
73;2526;785989;Borja Iglesias;;;;;;;;;;;;;;
73;2526;1101232;Abqar, Abdelkabir;;;;;;;;;;;;;;
73;2526;838629;Álvaro Fidalgo;;;;;;;;;;;;;;
73;2526;146866;Gerard Moreno;;;;;;;;;;;;;;
73;2526;818986;Gabriel Suazo;;;;;;;;;;;;;;
73;2526;797306;Mouctar Diakhaby;;;;;;;;;;;;;;
73;2526;175753;Mariano Díaz;;;;;;;;;;;;;;
73;2526;1120504;Abdel Rahim;;;;;;;;;;;;;;
73;2526;344847;Johan Mojica;;;;;;;;;;;;;;
73;2526;609752;Guido Rodríguez;;;;;;;;;;;;;;
73;2526;188365;Héctor Bellerín;;;;;;;;;;;;;;
73;2526;859773;Óscar Mingueza;;;;;;;;;;;;;;
73;2526;962029;Lucas Beltrán;;;;;;;;;;;;;;
73;2526;345195;Ayoze Pérez;;;;;;;;;;;;;;
73;2526;832427;Carlos Soler;;;;;;;;;;;;;;
73;2526;815202;Ionuț Radu;;;;;;;;;;;;;;
73;2526;949962;Ferran Jutglà;;;;;;;;;;;;;;
73;2526;1012444;Alberto Moleiro;;;;;;;;;;;;;;
73;2526;280979;Gonçalo Guedes;;;;;;;;;;;;;;
73;2526;910026;Bryan Gil;;;;;;;;;;;;;;
73;2526;827064;Arnaut Danjuma;;;;;;;;;;;;;;
73;2526;966801;Oihan Sancet;;;;;;;;;;;;;;
