match_id;player_idss;teamss;opponent;player;positionss;shirt_number;totalPassss;accuratePassss;totalLongBalls;accurateLongBalls;goalAssistss;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;penaltyFaced;savesss;totalKeeperSweeper;accurateKeeperSweeper;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;aerialWon;duelLost;duelWon;totalContest;shotOffTargetss;totalClearancess;outfielderBlock;interceptionWon;wasFouledss;foulsss;totalOffsidess;expectedGoals;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;shotValueNormalized;challengeLost;totalTackless;wonTackless;unsuccessfulTouch;dispossessed;onTargetScoringAttempt;penaltyConceded;expectedGoalsOnTarget;keyPass;wonContest;accurateCross;bigChanceCreated;bigChanceMissed;goodHighClaim;blockedScoringAttempt;goalsss;penaltyWon;errorLeadToAShot;lastManTackle;hitWoodwork;errorLeadToAGoal;punches;ownGoals;penaltySave;penaltyMiss;league;season;match;match_slug;teamsw;player_idsw;name;short_name;match_name;positionsw;pos_side;formation_place;accuratePasssw;gameStarted;goalKicks;goalsConceded;minsPlayed;savessw;totalPasssw;formationPlace;blockedScoringAtt;cornerTaken;foulssw;lostCorners;shotOffTargetsw;totalClearancesw;totalScoringAtt;totalTacklesw;totalThrows;wonCorners;wonTacklesw;wasFouledsw;totalSubOff;totalOffsidesw;goalAssistsw;goalssw;ontargetScoringAtt;totalSubOn;yellowCard;Venue
14083292;823622;Real Sociedad;Elche;Mikel Oyarzabal;F;10;26.0;20.0;3.0;2.0;0.0;8.0;10.0;12.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;82.0;48.0;8.2;12.0;0.068003;100.44845456736;10.0;38.050813169697;0.0;2;0.0;0.08;0.45;0.22;0.0;0.0;0.0;1.0;5.0;5.0;6.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0078;23.778290782437;37.019347534703;2.0;0.5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9768;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Real Sociedad;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal Ugarte;Mikel Oyarzabal;Mikel Oyarzabal;Striker;Left/Centre;9;20;1;0;1;82;0;26;9;0;0;0;0;1;2;2;1;0;0;1;1;1;0;0;1;1;0;0;Home
14083292;980410;Real Sociedad;Elche;Beñat Turrientes;M;8;20.0;19.0;4.0;4.0;0.0;9.0;9.0;10.0;11.0;5.0;0.0;0.0;0.0;0.0;0.0;61.0;34.0;6.9;6.0;0.00836577;113.26591957796;13.0;24.589666157267;0.0;3;0.0;0.18;0.33;-0.04;0.0;1.0;1.0;0.0;4.0;5.0;4.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.2279;14.190561437366;29.498843465612;2.0;-0.55;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Real Sociedad;et849xmcdgsy5itb8i4w7qkq2;Beñat Turrientes Imaz;Beñat Turrientes;Beñat Turrientes;Substitute;Midfielder;0;19;0;0;1;61;0;20;0;0;0;0;0;3;0;3;2;0;0;2;2;0;0;0;0;0;1;0;Home
14083292;1116388;Real Sociedad;Elche;Jon Aramburu;D;2;9.0;8.0;2.0;1.0;0.0;4.0;4.0;4.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;25.0;22.0;6.9;3.0;0.00469771;11.510265027357;1.0;9.624839249307;0.0;0;0.0;0.06;0.02;0.16;0.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Real Sociedad;ezbplvktzcvzh5kwur32110mi;Jon Mikel Aramburu Mejías;Jon Aramburu;J. Aramburu;Substitute;Defender;0;8;0;0;0;25;0;9;0;0;0;2;0;0;0;0;2;7;1;2;0;0;0;0;0;0;1;0;Home
14083292;1111081;Real Sociedad;Elche;Job Ochieng;F;47;12.0;9.0;1.0;1.0;0.0;3.0;4.0;6.0;8.0;3.0;0.0;0.0;0.0;0.0;0.0;25.0;22.0;6.7;9.0;0.0427943;103.09416099101;7.0;69.234500367979;0.0;0;0.0;0.14;0.27;-0.01;0.0;1.0;1.0;0.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.54083719099;81.051629565605;3.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Real Sociedad;1fcmd6qaiira468e8mph4sis4;Job Nguono Ochieng;Job Ochieng;J. Ochieng;Substitute;Attacker;0;9;0;0;0;25;0;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;Home
14083292;839585;Real Sociedad;Elche;Yangel Herrera;M;12;9.0;6.0;0.0;0.0;0.0;4.0;4.0;2.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0;12.0;6.7;4.0;0.00030987;4.7998051002098;1.0;4.0201450648822;0.0;0;0.0;-0.06;0.03;0.13;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Real Sociedad;c320492cbp1otejfp1i1oane1;Yangel Clemente Herrera Ravelo;Yangel Herrera;Y. Herrera;Substitute;Midfielder;0;6;0;0;0;8;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Home
14083292;1026015;Real Sociedad;Elche;Orri Steinn Óskarsson;F;9;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0;6.0;7.4;2.0;0.00010826;9.2260368968863;2.0;3.0356504635337;0.0;2;0.0;-0.09;0.17;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.9695;6.057575488584;6.153824501885;1.0;0.49;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.7321;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Real Sociedad;euur9yvhgrieu4kl0vdkh244q;Orri Steinn Óskarsson;Orri Óskarsson;O. Óskarsson;Substitute;Attacker;0;1;0;0;0;8;0;3;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;1;1;0;Home
14083292;794949;Elche;Real Sociedad;Iñaki Peña;G;13;81.0;60.0;29.0;9.0;0.0;52.0;54.0;8.0;27.0;13.0;0.0;0.0;0.0;3.0;3.0;90.0;91.0;6.0;21.0;0.129429;233.04052073129;30.0;189.93016402146;0.0;0;-0.4088;0.28;0.11;-0.31;-0.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Elche;4mxx1oxkiexm0ha34utcmb17t;Ignacio Peña Sotorres;Iñaki Peña;Iñaki Peña;Goalkeeper;Centre;1;60;1;2;3;90;0;81;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;Away
14083292;988672;Elche;Real Sociedad;David Affengruber;D;22;68.0;61.0;4.0;1.0;0.0;38.0;41.0;23.0;27.0;3.0;0.0;0.0;0.0;0.0;0.0;90.0;77.0;5.9;7.0;0.0120559;124.19907200068;16.0;50.179901728082;0.0;1;0.0;0.05;0.16;-0.47;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0118;0.0;0.0;0.0;-0.13;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Elche;7o7vwlqxknci1fymzkn9hug6i;David Affengruber;David Affengruber;D. Affengruber;Defender;Centre/Right;5;61;1;0;3;90;0;68;5;0;0;1;0;1;1;1;2;1;0;1;0;0;0;0;0;0;0;1;Away
14083292;855831;Elche;Real Sociedad;Víctor Chust;D;23;82.0;81.0;0.0;0.0;0.0;50.0;51.0;31.0;31.0;1.0;0.0;0.0;0.0;0.0;0.0;72.0;84.0;6.2;2.0;0.0170978;202.61704055371;29.0;58.526155946405;0.0;0;0.0;0.28;0.13;-0.41;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;18.730365554159;19.79554194762;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Elche;8nbnru9t2qxaotxw0hiaocdt5;Víctor Chust García;Victor Chust;Víctor Chust;Defender;Centre;4;81;1;5;2;72;0;82;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Away
14083292;1094758;Elche;Real Sociedad;John Donald;D;18;27.0;25.0;0.0;0.0;0.0;9.0;10.0;16.0;17.0;2.0;0.0;0.0;0.0;0.0;0.0;55.0;36.0;6.2;4.0;0.00564944;38.448128748181;7.0;-3.7666938257599;0.0;0;0.0;-0.02;0.01;-0.36;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;Elche;clrlsy05spf55w39f84b7p3sa;John Chetauya Nwankwo Donald Okeh;John Donald;John Donald;Defender;Left/Centre;6;25;1;0;2;55;0;27;6;0;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0;Away
