id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
1126447;Lucas Cepeda;;;;;;;;;;;;;;
873189;Juan Foyth;;;;;;;;;;;;;;
1939173;Jan Virgili;;;;;;;;;;;;;;
949156;Luka Sučić;;;;;;;;;;;;;;
984624;Yéremy Pino;;;;;;;;;;;;;;
310874;Vedat Muriqi;;;;;;;;;;;;;;
191182;Thomas Lemar;;;;;;;;;;;;;;
325355;José María Giménez;;;;;;;;;;;;;;
84539;Koke;;;;;;;;;;;;;;
263651;Juan Musso;;;;;;;;;;;;;;
190159;André Silva;;;;;;;;;;;;;;
942836;Haissem Hassan;;;;;;;;;;;;;;
1000150;Zito Luvumbo;;;;;;;;;;;;;;
862223;Manor Solomon;;;;;;;;;;;;;;
990169;Johnny Cardoso;;;;;;;;;;;;;;
1084730;Bryan Zaragoza;;;;;;;;;;;;;;
319735;Viktor Tsygankov;;;;;;;;;;;;;;
1520799;Maroan Sannadi;;;;;;;;;;;;;;
19356;Iago Aspas;;;;;;;;;;;;;;
908714;Arnau Tenas;;;;;;;;;;;;;;
823631;Dodi Lukebakio;;;;;;;;;;;;;;
807771;Dávid Hancko;;;;;;;;;;;;;;
913679;Pathé Ismaël Ciss;;;;;;;;;;;;;;
1119345;Obed Vargas;;;;;;;;;;;;;;
989113;Rodrigo Riquelme;;;;;;;;;;;;;;
1129401;Nelson Deossa;;;;;;;;;;;;;;
21555;César Azpilicueta;;;;;;;;;;;;;;
1066045;Arsen Zakharyan;;;;;;;;;;;;;;
905639;Kwasi Sibo;;;;;;;;;;;;;;
1117026;Federico Redondo;;;;;;;;;;;;;;
855835;Sergio Gómez;;;;;;;;;;;;;;
1458073;Nobel Mendy;;;;;;;;;;;;;;
1884145;Christantus Uche;;;;;;;;;;;;;;
839585;Yangel Herrera;;;;;;;;;;;;;;
606346;Eric Bailly;;;;;;;;;;;;;;
1126779;Williot Swedberg;;;;;;;;;;;;;;
785989;Borja Iglesias;;;;;;;;;;;;;;
1101232;Abqar, Abdelkabir;;;;;;;;;;;;;;
838629;Álvaro Fidalgo;;;;;;;;;;;;;;
146866;Gerard Moreno;;;;;;;;;;;;;;
818986;Gabriel Suazo;;;;;;;;;;;;;;
797306;Mouctar Diakhaby;;;;;;;;;;;;;;
175753;Mariano Díaz;;;;;;;;;;;;;;
