league;season;match;match_slug;type;team_id;minute;scorer_id;scorer;assister_id;assister
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;G;3krm0f4yr1l80j1sd7823f9xn;23:48;3xxwjf3ymu1j9825xjuwuknah;Javi Hernández;8e6qzf8dp3c9lch7tu5r03qqc;Y. Diomande
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;G;3krm0f4yr1l80j1sd7823f9xn;35:28;8e6qzf8dp3c9lch7tu5r03qqc;Y. Diomande;bxzhhmig5if9pznqa0fgxlyei;S. Cissé
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;G;3krm0f4yr1l80j1sd7823f9xn;39:58;4jjk6jqgz3w4uvm3bvhl9t016;Juan Cruz;;
