League;Season;Player;ShortName;Slug;Team;Country;Position;ShirtNumber;PreferredFoot;Height;Weight;BirthDate;ContractUntil;MarketValue
73;2526;Lamine Yamal;L. Yamal;lamine_yamal;Barcelona;Spain;RW;10.0;Left;180;;13/07/2007;30/06/2031;215.0
73;2526;Pedri;Pedri;pedri;Barcelona;Spain;DM;8.0;Right;174;60;25/11/2002;30/06/2030;153.0
73;2526;Raphinha;Raphinha;raphinha;Barcelona;Brazil;LW;11.0;Left;176;68;14/12/1996;30/06/2028;72.0
73;2526;Robert Lewandowski;R. Lewandowski;robert_lewandowski;Barcelona;Poland;ST;9.0;Right;186;79;21/08/1988;30/06/2026;8.4
73;2526;Arda Güler;A. Güler;arda_guler;Real Madrid;Türkiye;AM;15.0;Left;176;;25/02/2005;30/06/2029;87.0
73;2526;Jude Bellingham;J. Bellingham;jude_bellingham;Real Madrid;England;MC;5.0;Right;188;;29/06/2003;30/06/2029;151.0
73;2526;Kylian Mbappé;K. Mbappé;kylian_mbappe;Real Madrid;France;ST;10.0;Right;178;73;20/12/1998;30/06/2029;212.0
73;2526;Rodrygo;Rodrygo;rodrygo;Real Madrid;Brazil;RW;11.0;Right;174;62;09/01/2001;30/06/2028;64.0
73;2526;Vinícius Júnior;Vinícius Jr.;vinicius_junior;Real Madrid;Brazil;ST;7.0;Right;176;62;12/07/2000;30/06/2027;156.0
