league;season;team;pos;pts;played;wins;draws;losses;goalsScored;goalsConceded;goalDiff;home_pos;home_pts;home_played;home_wins;home_draws;home_losses;home_goalsScored;home_goalsConceded;home_goalDiff;away_pos;away_pts;away_played;away_wins;away_draws;away_losses;away_goalsScored;away_goalsConceded;away_goalDiff;xG;xGA;xGDiff;xGADiff;xPos;xPosDiff;xPts;xPtsDiff
73;2526;Barcelona;1;64;26;21;1;4;0;26;45;1;39;13;13;0;0;41;6;35;2;25;13;8;1;4;30;20;10;67.70200026035309;33.370899990200996;3.2979997396469116;-7.370899990200996;1;0;55.735980599810844;8.264019400189156
73;2526;Real Madrid;2;60;25;19;3;3;0;21;33;3;33;12;11;0;1;29;8;21;1;27;13;8;3;2;25;13;12;57.78409993648529;28.43119987845421;-3.7840999364852905;-7.431199878454208;2;0;53.56344304729631;6.43655695270369
73;2526;Atletico Madrid;3;51;26;15;6;5;0;23;20;2;34;13;11;1;1;30;10;20;6;17;13;4;5;4;13;13;0;40.15409988164902;28.907100051641464;2.8459001183509827;-5.907100051641464;3;0;42.862648283624296;8.137351716375704
73;2526;Villarreal;4;51;26;16;3;7;0;31;17;4;31;13;10;1;2;29;11;18;4;20;13;6;2;5;19;20;-1;40.195400297641754;33.218099638819695;7.804599702358246;-2.2180996388196945;6;-2;41.166908790559965;9.833091209440035
73;2526;Real Betis;5;43;26;11;10;5;0;32;10;5;24;13;7;3;3;25;15;10;5;19;13;4;7;2;17;17;0;40.34970000386238;31.83369991183281;1.650299996137619;0.16630008816719055;5;0;41.8880191381665;1.1119808618335014
73;2526;Celta Vigo;6;40;26;10;10;6;0;28;8;14;17;13;4;5;4;19;15;4;3;23;13;6;5;2;17;13;4;36.17500026524067;31.40450017899275;-0.17500026524066925;-3.4045001789927483;7;-1;39.78216103582613;0.21783896417387183
73;2526;Espanyol;7;36;26;10;6;10;0;39;-6;11;20;13;6;2;5;16;18;-2;7;16;13;4;4;5;17;21;-4;34.233500093221664;36.35469947755337;-1.2335000932216644;2.6453005224466324;12;-5;33.58248554205937;2.4175144579406265
73;2526;Real Sociedad;8;35;26;9;8;9;0;38;0;9;21;13;6;3;4;24;20;4;9;14;13;3;5;5;14;18;-4;36.99739980697632;37.08820013701916;1.0026001930236816;0.9117998629808426;8;0;36.69092250345402;-1.6909225034540185
73;2526;Athletic Club;9;35;26;10;5;11;0;36;-6;7;23;13;7;2;4;17;15;2;12;12;13;3;3;7;13;21;-8;37.61960017681122;28.70999976247549;-7.619600176811218;7.290000237524509;4;5;42.12846506211994;-7.128465062119943
73;2526;Osasuna;10;33;26;9;6;11;0;30;0;6;24;12;7;3;2;22;14;8;15;9;14;2;3;9;8;16;-8;29.47800025343895;35.56219983100891;0.5219997465610504;-5.562199831008911;13;-3;31.589776907968943;1.4102230920310568
73;2526;Sevilla;11;30;26;8;6;12;0;41;-7;17;15;13;4;3;6;18;19;-1;8;15;13;4;3;6;16;22;-6;28.336900129914284;42.93020033836365;5.663099870085716;-1.9302003383636475;18;-7;25.411596432824464;4.588403567175536
73;2526;Girona;12;30;26;7;9;10;0;42;-15;16;16;13;4;4;5;13;21;-8;10;14;13;3;5;5;14;21;-7;32.92970013618469;42.0101004242897;-5.929700136184692;-0.01010042428970337;14;-2;30.84077069541484;-0.8407706954148395
73;2526;Valencia;13;29;26;7;8;11;0;39;-12;10;20;13;5;5;3;16;13;3;16;9;13;2;3;8;11;26;-15;31.5012998431921;33.30890077352524;-4.5012998431921005;5.691099226474762;9;4;36.65242054389531;-7.65242054389531
73;2526;Getafe;14;29;25;8;5;12;0;29;-9;18;15;13;4;3;6;10;11;-1;11;14;12;4;2;6;10;18;-8;18.70589992403984;25.399300202727318;1.2941000759601593;3.600699797272682;15;-1;28.604349609774296;0.39565039022570403
73;2526;Rayo Vallecano;15;27;25;6;9;10;0;32;-9;15;16;12;3;7;2;12;10;2;14;11;13;3;2;8;11;22;-11;33.515000104904175;32.55250006914139;-10.515000104904175;-0.5525000691413879;10;5;35.444165030810396;-8.444165030810396
73;2526;Deportivo Alaves;16;27;26;7;6;13;0;34;-11;13;19;13;5;4;4;16;15;1;17;8;13;2;2;9;7;19;-12;31.476499937474728;33.361800134181976;-8.476499937474728;0.6381998658180237;11;5;34.15115221595272;-7.15115221595272
73;2526;Elche;17;26;26;5;11;10;0;39;-5;8;22;14;5;7;2;22;15;7;20;4;12;0;4;8;12;24;-12;30.148700013756752;47.030199468135834;3.851299986243248;-8.030199468135834;17;0;27.618926552176365;-1.6189265521763652
73;2526;Mallorca;18;24;26;6;6;14;0;42;-13;12;19;13;5;4;4;19;17;2;19;5;13;1;2;10;10;25;-15;27.680399872362614;43.81900027394295;1.3196001276373863;-1.8190002739429474;19;-1;25.2303872371499;-1.2303872371498983
73;2526;Levante;19;21;26;5;6;15;0;44;-16;20;10;13;2;4;7;13;23;-10;13;11;13;3;2;8;15;21;-6;32.11920008063316;44.400900065898895;-4.1192000806331635;-0.40090006589889526;16;3;27.781939499345206;-6.7819394993452065
73;2526;Real Oviedo;20;17;25;3;8;14;0;40;-24;19;11;13;2;5;6;5;14;-9;18;6;12;1;3;8;11;26;-15;24.1837999522686;41.592700362205505;-8.1837999522686;-1.5927003622055054;20;0;22.733223843301328;-5.733223843301328
