match_id;player_idss;teamss;opponent;player;positionss;shirt_number;totalPassss;accuratePassss;totalLongBalls;accurateLongBalls;goalAssistss;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;penaltyFacedss;savesss;totalKeeperSweeper;accurateKeeperSweeper;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;aerialWon;duelLost;duelWon;totalContest;shotOffTargetss;totalClearancess;outfielderBlock;interceptionWon;wasFouledss;foulsss;totalOffsidess;expectedGoals;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;shotValueNormalized;challengeLost;totalTackless;wonTackless;unsuccessfulTouch;dispossessed;onTargetScoringAttempt;penaltyConcededss;expectedGoalsOnTarget;keyPass;wonContest;accurateCross;bigChanceCreated;bigChanceMissed;goodHighClaim;blockedScoringAttempt;goalsss;penaltyWonss;errorLeadToAShot;lastManTackle;hitWoodwork;errorLeadToAGoal;punches;ownGoals;penaltySave;penaltyMiss;league;season;match;match_slug;teamsw;player_idsw;name;short_name;match_name;positionsw;pos_side;formation_place;accuratePasssw;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;penGoalsConceded;penaltyFacedsw;savessw;totalPasssw;formationPlace;foulssw;totalClearancesw;totalOffsidesw;totalSubOff;totalTacklesw;totalThrows;wasFouledsw;wonTacklesw;yellowCard;ontargetScoringAtt;penaltyConcededsw;totalScoringAtt;wonCorners;shotOffTargetsw;cornerTaken;totalSubOn;cleanSheet;blockedScoringAtt;goalssw;goalAssistsw;penaltyWonsw;Venue
14083257;814385;Alavés;Getafe;Lucas Boyé;F;15;21.0;15.0;0.0;0.0;0.0;3.0;5.0;12.0;16.0;1.0;0.0;0.0;0.0;0.0;0.0;90.0;50.0;6.6;17.0;0.136435;121.90054488308;15.0;44.144946714627;0.0;4;0.0;-0.02;0.39;-0.04;0.0;2.0;2.0;1.0;11.0;10.0;3.0;4.0;0.0;0.0;1.0;8.0;3.0;0.0;0.6728;20.631746442486;41.346427177327;2.0;-0.63;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Alavés;9ivrglgy0tibv881e1a93psr9;Lucas Ariel Boyé;Lucas Boyé;L. Boyé;Striker;Left/Centre;9;15;1;0;2;0;90;1;0;0;21;9;3;0;0;0;0;0;8;0;0;0;0;4;0;4;0;0;0;0;0;0;0;Home
14083257;1082968;Alavés;Getafe;Abderrahman Rebbach;F;21;9.0;5.0;1.0;0.0;0.0;3.0;5.0;2.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;32.0;20.0;6.5;9.0;0.00819353;71.0538976297;6.0;48.919025423888;0.0;2;0.0;0.11;0.28;0.13;0.0;3.0;0.0;0.0;2.0;0.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.3415;18.420602412946;34.774403126297;2.0;-0.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Alavés;1ttc96b92xjfx1ta3vdwya0dm;Abderrahmane Rebbach;Abde Rebbach;A. Rebbach;Substitute;Attacker;0;5;0;0;1;0;32;1;0;0;9;0;0;1;0;0;0;1;0;0;0;0;0;2;2;2;3;1;0;0;0;0;0;Home
14083257;138383;Alavés;Getafe;Denis Suárez;M;4;20.0;17.0;1.0;0.0;0.0;8.0;10.0;9.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;30.0;6.3;7.0;0.00521338;85.601933740064;7.0;66.451788840348;0.0;1;0.0;-0.1;0.07;-0.01;0.0;0.0;0.0;0.0;4.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0909;19.645638358215;48.122278840356;2.0;-0.42;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.1408;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Alavés;28psc296gj3umo59qqha8jil1;Denis Suárez Fernández;Denis Suárez;Denis Suárez;Substitute;Midfielder;0;17;0;0;1;1;31;1;0;0;20;0;2;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;Home
14083257;1639543;Alavés;Getafe;Aitor Mañas;F;34;2.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;31.0;9.0;6.6;5.0;0.00151949;4.2321984830582;1.0;0.99650358397347;0.0;1;0.0;0.02;-0.1;0.0;0.0;0.0;1.0;0.0;5.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2235;0.0;0.0;0.0;0.2;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.9292;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Alavés;9nqvf6si8k5u91rjslfvgc650;Aitor Mañas Buenadicha;Aitor Mañas;Aitor Mañas;Substitute;Attacker;0;2;0;0;1;0;31;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;Home
14083257;1513222;Alavés;Getafe;Ángel Pérez;D;7;9.0;7.0;0.0;0.0;0.0;5.0;7.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;13.0;13.0;6.7;3.0;0.00050573;6.0956181802997;1.0;-4.2451152656996;0.0;1;0.0;-0.02;-0.09;0.16;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0523;0.0;0.0;0.0;-0.31;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.1049;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Alavés;350ehsdbvwysbfxgeian91rf8;Ángel Pérez Hidalgo;Ángel Pérez;Ángel Pérez;Substitute;Defender;0;7;0;0;0;0;13;0;0;0;9;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;Home
14083257;1403364;Alavés;Getafe;Youssef Enriquez Lekhedim;D;3;5.0;3.0;1.0;1.0;0.0;2.0;2.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;10.0;7.0;3.0;0.197102;0.0;0.0;0.0;0.0;0;0.0;0.47;0.0;-0.14;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Alavés;2ww626a9v31b072prdx0xf1g4;Youssef Enríquez Lekhedim;Youssef Enríquez;Y. Enríquez;Substitute;Defender;0;3;0;0;0;0;13;0;0;0;5;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Home
14083257;604258;Getafe;Alavés;David Soria;G;13;32.0;18.0;26.0;12.0;0.0;7.0;7.0;11.0;25.0;7.0;5.0;0.0;5.0;1.0;1.0;90.0;41.0;8.6;14.0;0.003284;17.968426922348;4.0;4.4471133259953;0.7429;0;1.5172;0.22;0.02;0.29;0.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Getafe;vota9gwygxp3wc998tl7ldxx;David Soria Solís;David Soria;David Soria;Goalkeeper;Centre;1;18;1;10;0;2;90;0;0;5;32;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Away
14083257;53739;Getafe;Alavés;Kiko Femenía;D;17;23.0;18.0;2.0;0.0;0.0;7.0;10.0;11.0;13.0;1.0;0.0;0.0;0.0;0.0;0.0;89.0;49.0;7.0;10.0;0.186531;118.15382024316;11.0;64.338484043072;0.0;2;0.0;0.3;0.19;0.2;0.0;2.0;0.0;1.0;4.0;3.0;2.0;1.0;2.0;0.0;3.0;0.0;1.0;0.0;0.0564;14.825371081229;33.313126546835;2.0;-0.28;0.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0223;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Getafe;6wpnjdlg2p8f19y3gjpz1su6t;Francisco Femenía Far;Kiko Femenía;Kiko Femenía;Wing Back;Right;2;18;1;0;0;0;89;0;0;0;23;2;1;2;0;1;2;10;0;1;0;1;0;2;0;1;0;0;1;0;0;0;0;Away
14083257;576276;Getafe;Alavés;Domingos Duarte;D;22;23.0;15.0;8.0;2.0;0.0;12.0;15.0;3.0;8.0;3.0;0.0;0.0;0.0;0.0;0.0;90.0;39.0;7.0;9.0;0.0126122;40.095306917644;6.0;10.853493636795;0.0;1;0.0;0.09;0.01;0.21;0.0;0.0;1.0;1.0;2.0;7.0;0.0;1.0;2.0;0.0;2.0;2.0;1.0;0.0;0.1032;0.0;0.0;0.0;-0.38;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Getafe;cue88fm1v1ysfuwhql68czydx;Domingos de Sousa Coutinho Meneses Duarte;Domingos de Sousa Coutinho Meneses Duarte;Domingos Duarte;Defender;Centre/Right;6;15;1;0;0;1;90;0;0;0;23;6;1;2;0;0;4;0;2;2;1;0;0;1;0;1;0;0;1;0;0;0;0;Away
14083257;307702;Getafe;Alavés;Djené;D;2;30.0;23.0;5.0;3.0;0.0;16.0;19.0;7.0;11.0;6.0;0.0;0.0;0.0;0.0;0.0;90.0;48.0;7.4;9.0;0.0101116;93.30077863788;12.0;10.200725380512;0.0;0;0.0;0.14;0.02;0.13;0.0;0.0;3.0;2.0;6.0;11.0;1.0;0.0;4.0;0.0;2.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;Getafe;9see13i1f0n1ju4uhs8sijutx;Djené Dakonam Ortega;Djené Dakonam;D. Dakonam;Defender;Centre;5;23;1;0;0;1;90;0;0;0;30;5;2;4;0;0;4;0;4;2;1;0;0;0;0;0;0;0;1;0;0;0;0;Away
