league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;cornerTaken;blockedScoringAtt;possessionPercentage;totalClearance;goalKicks;totalScoringAtt;totalThrows;totalRedCard;saves;ontargetScoringAtt;fkFoulWon;totalPass;totalOffside;totalTackle;wonTackle;lostCorners;fkFoulLost;subsMade;shotOffTarget;goalsConceded;wonCorners;accuratePass;formationUsed;goals;totalYellowCard;goalAssist;cleanSheet
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;442;dbgwodtjsuulnminyfpr8im6t;Joaquín de Jesús Caparrós Camino;home;#FFFFFF;0;1;1;37.3;21;7;6;10;2;4;1;8;344;1;16;13;7;7;5;4;2;1;281;442;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;3kq9cckrnlogidldtdie2fkbl;442;pc8qy7gqbtpbkgefp4j3ws0l;Carlo Ancelotti;third;#FF6600;0;7;5;62.7;11;4;16;14;0;1;6;7;572;1;17;6;1;9;4;5;0;7;519;442;2;1;2;1
