league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalYellowCard;wonTackle;ontargetScoringAtt;totalThrows;totalScoringAtt;cornerTaken;possessionPercentage;totalClearance;totalOffside;fkFoulWon;wonCorners;fkFoulLost;blockedScoringAtt;totalTackle;goalAssist;shotOffTarget;lostCorners;goalsConceded;accuratePass;goalKicks;totalPass;goals;subsMade;formationUsed;subsGoals;saves
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;4231;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;home;#990000;#000099;2;9;9;21;24;11;69;10;2;9;11;14;9;12;1;6;3;3;632;7;687;2;5;4231;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;442;5si50dq9be9264rxt7td0padx;Marcelino García Toral;home;#FFFF00;0;0;10;3;15;7;3;31;35;1;14;3;9;0;17;3;4;11;2;236;10;302;3;5;442;1;7
