league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;subsGoals;totalClearance;lostCorners;wonCorners;possessionPercentage;totalYellowCard;subsMade;goalAssist;blockedScoringAtt;cornerTaken;ontargetScoringAtt;saves;totalThrows;fkFoulWon;goalKicks;totalOffside;goals;wonTackle;shotOffTarget;totalScoringAtt;totalTackle;fkFoulLost;accuratePass;totalPass;goalsConceded;formationUsed
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;442;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;home;#FF0000;#FFFFFF;1;18;4;7;44.7;1;5;3;2;7;11;6;16;8;6;2;4;9;7;20;15;12;404;473;1;442
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;ah8dala7suqqkj04n2l8xz4zd;4231;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;home;#009900;#FFFFFF;0;28;7;4;55.3;1;5;1;1;4;7;7;13;12;10;1;1;11;4;12;15;9;527;593;4;4231
