league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalYellowCard;shotOffTarget;fkFoulWon;totalScoringAtt;subsMade;totalThrows;totalTackle;cornerTaken;goalKicks;lostCorners;saves;blockedScoringAtt;wonCorners;totalClearance;fkFoulLost;ontargetScoringAtt;wonTackle;accuratePass;goalsConceded;possessionPercentage;totalPass;formationUsed;goalAssist;cleanSheet;totalOffside;goals
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;442;93o5a2exmg7935ub5lc4rve8l;Diego Martínez Penas;home;#FFFF00;#0066FF;2;6;12;12;5;31;14;9;8;2;3;3;9;33;15;3;6;457;1;70.6;543;442;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;3krm0f4yr1l80j1sd7823f9xn;442;dfjaduhy0txt0xudn96ghbeuh;Borja Jiménez Sáez;home;#FFFFFF;#0066CC;2;4;14;11;5;25;18;2;8;9;3;3;2;36;12;4;10;157;0;29.4;232;442;1;1;3;1
