league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;ontargetScoringAtt;goalKicks;accuratePass;wonTackle;goals;penGoalsConceded;shotOffTarget;blockedScoringAtt;lostCorners;saves;totalYellowCard;subsMade;wonCorners;penaltyConceded;totalScoringAtt;fkFoulWon;penaltyFaced;totalOffside;goalsConceded;possessionPercentage;totalTackle;totalThrows;fkFoulLost;cornerTaken;totalPass;totalClearance;formationUsed;penaltyWon;goalAssist
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;4231;26h5p70ffxotb1mv82ut6qx91;Iñigo Pérez Soto;home;#FFFFFF;#FF0000;6;6;337;12;2;1;8;6;7;1;1;5;10;1;20;16;1;3;2;52.9;16;16;8;10;416;19;4231;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;4231;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;third;#0099FF;0;3;15;304;8;2;0;4;3;10;4;3;5;7;0;10;7;0;0;2;47.1;14;16;18;7;381;25;4231;1;1
