league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalScoringAtt;accuratePass;goalsConceded;subsMade;ontargetScoringAtt;wonTackle;totalClearance;totalOffside;shotOffTarget;totalThrows;wonCorners;fkFoulWon;totalYellowCard;possessionPercentage;cornerTaken;totalPass;goalKicks;saves;totalTackle;fkFoulLost;blockedScoringAtt;lostCorners;formationUsed;goals;goalAssist;cleanSheet
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;442;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;home;#FFFFFF;#000000;6;451;1;5;2;7;18;1;1;14;5;16;3;55.6;5;545;3;3;19;10;3;3;442;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;4231;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;away;#0066CC;0;10;365;0;5;4;10;24;5;3;12;3;10;1;44.4;3;434;3;2;12;16;3;5;4231;1;1;1
