league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;goalAssist;possessionPercentage;cornerTaken;fkFoulLost;wonCorners;ontargetScoringAtt;subsGoals;goals;totalYellowCard;wonTackle;fkFoulWon;totalOffside;totalPass;accuratePass;saves;totalThrows;cleanSheet;shotOffTarget;subsMade;goalKicks;totalClearance;blockedScoringAtt;totalTackle;totalScoringAtt;penaltyWon;lostCorners;formationUsed;penaltyFaced;goalsConceded;penaltyConceded;penGoalsConceded
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;4231;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;home;#FFFFFF;#0066FF;1;44.1;3;12;3;3;1;2;3;10;11;1;376;302;4;20;1;3;5;4;27;2;17;8;1;6;4231;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;1ae3awgwm3i1jds5tfct5441j;4231;93o5a2exmg7935ub5lc4rve8l;Diego Martínez Penas;home;#FFFF00;#0066FF;0;55.9;6;11;6;4;0;0;2;7;11;2;491;417;1;23;0;3;5;4;27;3;10;10;0;3;4231;1;2;1;1
