league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalThrows;fkFoulLost;totalClearance;wonTackle;saves;subsMade;ontargetScoringAtt;goalKicks;fkFoulWon;totalTackle;goalAssist;totalOffside;goals;wonCorners;lostCorners;possessionPercentage;goalsConceded;cornerTaken;accuratePass;shotOffTarget;totalScoringAtt;totalPass;subsGoals;blockedScoringAtt;totalYellowCard;formationUsed
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;4231;f2i75nau3bjkt1i54farofmqd;Jagoba Arrasate Elustondo;home;#FF0000;#000000;29;14;35;3;2;5;1;5;9;10;1;1;1;3;4;72.5;2;3;499;4;7;596;1;2;2;4231
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;1n1j0wsl763lq7ee1k0c11c02;442;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;home;#000099;0;23;9;46;12;0;4;4;9;13;15;2;0;2;4;3;27.5;1;4;139;4;10;219;0;2;2;442
