league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;subsMade;cornerTaken;totalOffside;totalScoringAtt;ontargetScoringAtt;totalTackle;totalPass;goalsConceded;lostCorners;totalClearance;possessionPercentage;totalRedCard;blockedScoringAtt;wonTackle;fkFoulWon;totalThrows;goalKicks;accuratePass;shotOffTarget;totalYellowCard;fkFoulLost;wonCorners;saves;formationUsed;goals;cleanSheet;goalAssist;subsGoals
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;4231;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;home;#FFFFFF;#0066FF;4;3;5;9;1;16;229;2;3;16;24.9;1;3;12;10;22;11;156;5;4;8;3;2;4231;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;agh9ifb2mw3ivjusgedj7c3fe;4231;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;away;#000000;0;5;3;0;12;4;15;739;0;3;13;75.1;0;4;11;8;18;6;661;4;1;10;3;1;4231;2;1;2;1
