league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;possessionPercentage;accuratePass;totalPass;totalClearance;totalScoringAtt;totalOffside;goalsConceded;fkFoulLost;fkFoulWon;ontargetScoringAtt;goalKicks;shotOffTarget;cornerTaken;totalYellowCard;lostCorners;wonTackle;goals;penaltyWon;wonCorners;totalTackle;blockedScoringAtt;subsMade;totalThrows;formationUsed;goalAssist;saves;penaltyFaced;penaltyConceded;penGoalsConceded
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;442;e2ntrys15j912zpqy0xb4lg45;Claudio Giráldez González;home;#99FFFF;#FFFFFF;62.1;418;482;15;24;2;2;10;16;7;8;4;9;2;2;13;1;1;9;20;13;5;25;442;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;3budh3j9xivsid3ptm8ptpy4k;442;26h5p70ffxotb1mv82ut6qx91;Iñigo Pérez Soto;away;#FF0000;#FFFFFF;37.9;232;293;16;7;3;1;17;9;2;7;4;2;3;9;8;2;0;2;11;1;5;23;442;2;5;1;1;1
