league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;shotOffTarget;ontargetScoringAtt;penaltyFaced;goalKicks;subsMade;possessionPercentage;fkFoulWon;totalScoringAtt;totalOffside;cornerTaken;wonCorners;totalThrows;totalClearance;blockedScoringAtt;wonTackle;totalPass;totalTackle;saves;fkFoulLost;penaltyConceded;accuratePass;penGoalsConceded;goalsConceded;lostCorners;formationUsed;cleanSheet;goals;totalYellowCard;penaltyWon
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;343;8080pnojsna05ptw43pqhv8b9;Álvaro Rubio Robres;home;#660099;#FFFFFF;3;1;1;6;5;50;24;7;2;5;5;18;41;3;11;332;16;3;12;1;246;1;1;9;343;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;4132;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;home;#0033FF;#FFFFFF;6;4;0;5;3;50;12;14;0;9;9;24;24;4;16;343;20;1;24;0;242;0;0;5;4132;1;1;2;1
