league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;lostCorners;totalTackle;totalYellowCard;goalsConceded;accuratePass;totalScoringAtt;shotOffTarget;totalThrows;possessionPercentage;totalClearance;fkFoulWon;fkFoulLost;wonTackle;goalKicks;subsMade;blockedScoringAtt;totalOffside;cornerTaken;ontargetScoringAtt;wonCorners;totalPass;formationUsed;cleanSheet;goals;saves
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;442;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;home;#000099;0;5;16;1;2;127;11;6;32;34.2;36;7;10;9;9;5;4;1;2;1;2;235;442;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;3czravw89omgc9o4s0w3l1bg5;3421;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;home;#FF0000;#FFFFFF;2;7;0;0;362;9;5;34;65.8;57;9;7;4;10;5;2;2;5;2;5;459;3421;1;2;1
