league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalThrows;blockedScoringAtt;accuratePass;totalPass;goalAssist;fkFoulLost;subsMade;wonCorners;fkFoulWon;totalYellowCard;totalTackle;subsGoals;wonTackle;lostCorners;goals;shotOffTarget;goalsConceded;cornerTaken;totalClearance;goalKicks;totalScoringAtt;possessionPercentage;penaltyWon;saves;ontargetScoringAtt;formationUsed;penGoalsConceded;penaltyConceded;penaltyFaced;totalOffside
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;4231;4hjnfl3z9hlmz2kwwycfy7xsl;Imanol Alguacil Barrenetxea;home;#FFFFFF;#0000FF;18;2;410;469;2;10;5;9;9;1;13;1;7;2;3;4;2;9;19;4;15;53.6;1;3;9;4231;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;7h7eg7q7dbwvzww78h9d5eh0h;4231;jkox030vlb7xszen474w83px;Miguel Ángel Sánchez Muñoz;home;#FF0000;#FF0000;11;1;341;408;2;9;5;2;10;3;27;1;11;9;2;3;3;2;24;7;9;46.4;0;4;5;4231;1;1;1;5
