league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;totalPass;totalOffside;subsMade;goalKicks;fkFoulWon;ontargetScoringAtt;possessionPercentage;goalsConceded;wonCorners;fkFoulLost;saves;accuratePass;lostCorners;totalScoringAtt;goals;cornerTaken;penaltyWon;totalThrows;wonTackle;shotOffTarget;totalTackle;totalClearance;totalYellowCard;formationUsed;penGoalsConceded;goalAssist;blockedScoringAtt;subsGoals;penaltyFaced;penaltyConceded
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;4231;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;home;#0033FF;#FFFFFF;356;3;4;15;6;5;46.7;1;6;15;4;273;10;14;1;5;1;16;20;9;27;29;2;4231;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;4231;5v9hgzr9iyklszdcfw2o51r6d;Vicente Moreno Peris;home;#FF0000;#000066;390;2;5;9;15;5;53.3;1;10;6;4;317;6;19;1;9;0;34;6;10;11;27;2;4231;1;1;4;1;1;1
