league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;fkFoulLost;fkFoulWon;subsMade;goalAssist;blockedScoringAtt;totalScoringAtt;shotOffTarget;lostCorners;cornerTaken;totalThrows;wonCorners;wonTackle;totalTackle;totalYellowCard;cleanSheet;totalOffside;saves;ontargetScoringAtt;goals;goalKicks;totalPass;possessionPercentage;totalClearance;formationUsed;goalsConceded
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;4231;5v9hgzr9iyklszdcfw2o51r6d;Vicente Moreno Peris;home;#FF0000;#000066;222;12;11;6;2;2;9;4;5;3;16;3;9;12;1;1;1;5;3;2;13;294;34.9;31;4231;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;442;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;away;#CCFFFF;0;488;11;12;6;0;0;9;4;3;5;21;5;10;12;1;0;4;1;5;0;5;551;65.1;20;442;2
